iteration,train,validation,error,accuracy,breakCounter
1,28.868836242802967,70.42562622367936,0.5000100910531822,0.5,0
2,27.80499244765659,69.33474447097726,0.5001294280360078,0.5,0
3,26.78080448865257,68.2375980459161,0.5009667574354129,0.5,0
4,25.73160564591363,67.15618487375536,0.5039137908769029,0.5,0
5,24.670202760161224,66.07885218189332,0.5071658046388157,0.4921875,0
6,23.655457826808416,65.02111722524212,0.5098879254711406,0.4921875,0
7,22.71016267678634,64.03390512572047,0.5167806817306505,0.4921875,0
8,22.001975129144903,63.27031722841236,0.5303141786071055,0.4453125,0
9,21.697800287168604,62.94951061149835,0.5161774145308131,0.4453125,0
10,21.811573975879636,63.02469016859594,0.48572833785627023,0.53125,0
20,21.622797465495818,62.39344190237346,0.47903195493283246,0.546875,0
30,21.31764279344536,61.610656924157944,0.5294530326946558,0.4453125,1
40,20.943388002047648,60.81880940643547,0.48288042785792873,0.5234375,1
50,20.60141822802991,60.01567855381264,0.508589511909322,0.453125,1
60,20.32614742350121,59.29430049561836,0.48806894658475547,0.53125,1
70,20.05715471246383,58.578472069522626,0.4910200630921009,0.5390625,1
80,19.804683273341627,57.89252170893247,0.4859258551950886,0.515625,1
90,19.563924718600017,57.21358759180553,0.48180886064531814,0.53125,1
100,19.31303777120035,56.543292395602606,0.4797518282982561,0.53125,1
110,19.08269778510449,55.87990327271309,0.47596259095381616,0.53125,1
120,18.85180811738052,55.224127820246444,0.47275421478772384,0.5390625,1
130,18.619824360040038,54.570099786539,0.469115437621538,0.5546875,1
140,18.39311188265636,53.924798830052254,0.46591621480388645,0.5546875,1
150,18.167063876824937,53.287478185017854,0.46315111162669154,0.5625,1
160,17.943464355172747,52.65773536420129,0.4605434688535439,0.5625,1
170,17.725006789684095,52.03370671210565,0.4577572614619696,0.5625,1
180,17.506736227915173,51.416530555253324,0.45506921443113135,0.5703125,1
190,17.28321082859283,50.80859822256771,0.4530415079611949,0.5703125,1
200,17.074539178924823,50.2075811229696,0.4511722088131752,0.578125,1
210,16.86592130591672,49.61420924737761,0.4495006857392442,0.578125,1
220,16.656385342596167,49.02505986757265,0.4472632938992378,0.578125,1
230,16.450339646807443,48.4432956614297,0.44517075483616414,0.5703125,1
240,16.248371440777408,47.86898014955307,0.44317356783521844,0.5703125,1
250,16.046482219571462,47.3008745331078,0.4408164822154014,0.5703125,1
260,15.84882983637526,46.74005364500021,0.43846505879133557,0.578125,1
270,15.655428880034473,46.18649559496455,0.43621185716073896,0.578125,1
280,15.46370103091908,45.639911598923824,0.434038408448982,0.5859375,1
290,15.27491421704619,45.10010759686964,0.4318436360282163,0.5859375,1
300,15.088778212883525,44.56737082040449,0.4296717230887463,0.578125,1
310,14.90342529371593,44.041082049648125,0.4274084334523634,0.5859375,1
320,14.713358203929644,43.52117803316146,0.4251817534844558,0.5859375,1
