Step	Memory_MB	Time
Start	228.073472	2022-11-10 12:11:41
Data loaded	339.664896	2022-11-10 12:11:42
Setup data	451.039232	2022-11-10 12:11:50
Setup Network	493.514752	2022-11-10 12:13:13
Setup Tensorflow NW	816.648192	2022-11-10 12:13:36
Setup Tensorflow	1556.553728	2022-11-10 12:14:04
Initiated Tensorflow	2644.205568	2022-11-10 12:14:08
Prepared Training	2644.205568	2022-11-10 12:14:08
Trained Tensorflow	9069.047808	2022-11-10 14:00:27
Loaded Best Model	9069.047808	2022-11-10 14:00:27
Tensorflow results accuracy	10195.263488	2022-11-10 14:05:04
Tensorflow numgrad 0	10476.531712	2022-11-10 14:07:25
Tensorflow numgrad 1	11017.162752	2022-11-10 14:11:58
Tensorflow numgrad 10	11017.162752	2022-11-10 14:11:59
Tensorflow numgrad 100	11017.162752	2022-11-10 14:11:59
Tensorflow numgrad 101	11017.162752	2022-11-10 14:12:00
Tensorflow numgrad 102	11017.162752	2022-11-10 14:12:00
Tensorflow numgrad 103	11017.162752	2022-11-10 14:12:00
Tensorflow numgrad 104	11017.162752	2022-11-10 14:12:01
Tensorflow numgrad 105	11017.162752	2022-11-10 14:12:01
Tensorflow numgrad 106	11017.162752	2022-11-10 14:12:02
Tensorflow numgrad 107	11017.162752	2022-11-10 14:12:02
Tensorflow numgrad 108	11017.162752	2022-11-10 14:12:03
Tensorflow numgrad 109	11017.162752	2022-11-10 14:12:03
Tensorflow numgrad 11	11017.162752	2022-11-10 14:12:03
Tensorflow numgrad 110	11017.162752	2022-11-10 14:12:04
Tensorflow numgrad 111	11017.162752	2022-11-10 14:12:04
Tensorflow numgrad 112	11017.162752	2022-11-10 14:12:05
Tensorflow numgrad 113	11017.162752	2022-11-10 14:12:05
Tensorflow numgrad 114	11017.162752	2022-11-10 14:12:05
Tensorflow numgrad 115	11017.162752	2022-11-10 14:12:06
Tensorflow numgrad 116	11017.162752	2022-11-10 14:12:06
Tensorflow numgrad 117	11017.162752	2022-11-10 14:12:07
Tensorflow numgrad 118	11017.162752	2022-11-10 14:12:07
Tensorflow numgrad 119	11017.162752	2022-11-10 14:12:08
Tensorflow numgrad 12	11017.162752	2022-11-10 14:12:08
