Node,output
0,0.056410024289345245
1,0.4836328664148955
10,0.7853848577461412
100,0.4721459379447801
101,0.2270589526981757
102,0.3953982734509181
103,0.8219470153560886
104,0.4144846541855405
105,0.3707959328483911
106,0.8266674467822639
107,0.2902545667333912
108,0.23557919248290998
109,0.6156282655055082
11,0.3741488632323287
110,0.5026063378180352
111,0.5532731581201429
112,0.44414071856015097
113,0.5470336940530556
114,0.6310894918562427
115,0.8272576963973033
116,0.7178719256637534
117,0.6596995660294048
118,0.4298026430314774
119,0.42875907320561607
12,0.11591476398880053
12-EthanediolEthyleneglycolConsumptionimport,0.4859233646480529
12-EthanediolEthyleneglycolProductionexport,0.5561450860527187
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport,0.716173657210362
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,0.34847435177408864
120,0.40654753983025455
121,0.6371231964870092
122,0.6791013311893563
123,0.46998239405769077
124,0.6317909947638882
125,0.5341935162813309
126,0.8126530644775217
127,0.5767823079828074
128,0.43937004391109713
129,0.6401108655875012
13,0.3517394287989557
13-PropanediolConsumptionimportproductionexport,0.720396337384825
13-PropanediolProductionexport,0.35178397296246827
130,0.6749432908765978
131,0.18719779997061559
132,0.6123332228567364
133,0.5624048031686427
134,0.4360799324857307
135,0.15024684561137402
136,0.193650686519694
137,0.4536562731204621
138,0.5467786292962605
139,0.5048095261628652
14,0.5614031887017116
140,0.5117925630929022
141,0.6948983666900497
142,0.702122728924195
143,0.7889589987632329
144,0.6039135592348216
145,0.572568395827354
146,0.4127008813031773
147,0.5661246089229313
148,0.09816709973577738
149,0.32470603787581714
15,0.25266207265116614
150,0.12189034197245636
151,0.4995305423387093
152,0.38205270621030735
153,0.26338755587999607
154,0.7457772205565529
155,0.2049889783311201
156,0.45986811441987874
157,0.44348121287103376
158,0.23363267824774553
159,0.4973690606234473
16,0.5322856067517728
160,0.45510302287744603
161,0.33634653626895156
162,0.6511277206289168
163,0.3286010613514493
164,0.3730291063624913
165,0.5227869252679235
166,0.10013376966326001
167,0.3872703284091887
168,0.3073625766997909
169,0.7595791729267836
17,0.1499978778466309
170,0.5124036643083171
171,0.872462143975723
172,0.7369271354154547
173,0.6226994102976061
174,0.523360450325422
175,0.7865686449601886
176,0.389552409146993
177,0.7302808592332409
178,0.20890790397310896
179,0.48619944359914274
18,0.3531926245675254
180,0.9281248926308947
181,0.3071878285957152
182,0.404950616338822
183,0.30916765731617274
184,0.5348199470635457
185,0.6535930018154792
186,0.5314640908743746
187,0.292646581397241
188,0.5889227196351544
189,0.4901942393749654
19,0.40837691938863796
190,0.3786544588106389
191,0.8070418811214289
192,0.8055690161135914
193,0.7028537122979327
194,0.245154424469305
195,0.435357830869551
196,0.7281435479328288
197,0.7585524769089643
198,0.3826580757883238
199,0.48871400954146066
2,0.5409821818662494
2-Aminobutyricacid2-AminobutyrateProductionexport,0.7112962256946805
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,0.2510891309848067
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport,0.4515597696536323
2-methylbutyrate2-methylbutanoicacidConsumptionimport,0.2664003203196045
20,0.5721714101497616
200,0.38061352896758854
201,0.5334024603801075
202,0.42124992012452905
203,0.4618979507265985
204,0.39982260461924235
205,0.5675020998847451
206,0.7156243642450613
207,0.5981503617200216
208,0.6942823326090759
209,0.5241683634612744
21,0.6301768177441889
210,0.2553079688970159
211,0.3923289952610389
213,0.4029333905592004
214,0.36318794311217334
215,0.20254534263407295
216,0.5044878776007311
217,0.8691210548675282
218,0.2384943656672843
219,0.5625995770754655
22,0.6537542642141718
220,0.6264346348114107
221,0.21856322912669737
222,0.5990528708535777
223,0.37280348044063144
224,0.899794299462152
225,0.18470608316389706
226,0.7367923221061448
227,0.3445846852478026
228,0.47740188093612373
229,0.2728502504589624
23,0.04111513379498202
230,0.38238864977968695
231,0.5219374389805879
232,0.2007182287610029
233,0.22392454090265593
234,0.8183294809188045
235,0.4684793325381559
236,0.70428079977162
237,0.17840458052637675
238,0.5571443903905435
239,0.584962588866769
24,0.49343936338211897
240,0.5558875267928327
241,0.9068369680298305
242,0.669678339204
243,0.8495975280230241
244,0.22104240450675963
245,0.37123174429471567
246,0.465369108107668
247,0.33574291436438103
248,0.24169254441777727
249,0.5701751842460602
25,0.34348213176605924
250,0.6532835788743218
251,0.36115384452473437
252,0.43215176192941235
253,0.7371370577381642
254,0.5628599784628826
255,0.6947977142719953
256,0.510579875322315
257,0.4580723764842315
258,0.43045848055069913
259,0.41525857637634406
26,0.6925062147794463
260,0.4306678970708759
261,0.631774711072452
262,0.6175383665377393
263,0.5861265166073142
264,0.6476266044488419
265,0.2667622299751138
266,0.7943210966421675
267,0.5911152783785594
268,0.5516873009204301
269,0.6138401811518608
27,0.4552948333947888
270,0.5579261530051977
271,0.6821966198395295
272,0.6819560594556136
273,0.2051821007277597
274,0.1673005184604414
275,0.3494073424571872
276,0.25352106332096874
277,0.5644811222211008
278,0.24180970954702086
279,0.8924579134589612
28,0.5600658063177868
280,0.6745284838808161
281,0.31334474421037145
282,0.8070522869274578
283,0.08979419772720473
284,0.17728462224745428
285,0.8650781104536908
286,0.4522105881760903
287,0.3786739102785824
288,0.4225670721065862
289,0.5369204087664388
29,0.7397215246520895
290,0.799146746758473
291,0.7738023981028959
292,0.6839541243484147
293,0.7775798960351984
294,0.4439866225525345
295,0.24116794990220577
