iteration,train,validation,error,accuracy,breakCounter
1,128.4821395208736,372.68872303371694,0.500000136596306,0.5,0
2,127.0566112818061,371.0206946748464,0.5000092117181869,0.5,0
3,125.63116790925656,369.39418205109786,0.5001199636958458,0.5,0
4,124.23161459090437,367.76571224095846,0.5017610733106561,0.5,0
5,122.87333171049603,366.2564783023004,0.5106861098363513,0.5,0
6,121.66056155334249,364.90597079815876,0.5270038109803118,0.4453125,0
7,120.93120993540428,363.9251701320827,0.5274287270043723,0.484375,0
8,120.76669193989463,363.4662948034816,0.5032808831166294,0.484375,0
9,120.84126207407073,363.3557954500974,0.47736867632161895,0.5390625,0
10,120.9865213864557,363.295377694871,0.47154162358462337,0.5234375,0
20,118.9815752015307,358.98004944097676,0.4703417712486915,0.5078125,0
30,117.67039143459029,355.2270468550344,0.4496542943488962,0.578125,0
40,116.30959470020622,351.3912491146912,0.45536694370194164,0.5390625,0
50,114.94687025789113,347.5204864950343,0.44800102727713376,0.5234375,0
60,113.60027171666921,343.65002798371245,0.4368621719003417,0.5625,0
70,112.26310103827774,339.7821279025234,0.42998434356857307,0.546875,0
80,110.93917680192706,335.8964525040073,0.4235167992942958,0.546875,0
90,109.62611859306446,332.04137539548924,0.42337214738240225,0.546875,0
100,108.31991302722653,328.181636510625,0.4206483699609616,0.5625,0
110,107.02261484157937,324.336543909906,0.41632374094748215,0.5703125,0
120,105.74024702022241,320.513777737477,0.41484351088645244,0.5703125,0
130,104.46202301373631,316.70587508922296,0.411617285565419,0.5703125,0
140,103.19352184930217,312.92486800696815,0.4101543465847197,0.578125,0
150,101.93341811057945,309.170592351714,0.40837515612615677,0.5703125,0
160,100.6876046508449,305.438999229765,0.4063108244470852,0.578125,0
170,99.4513000448567,301.7351715185579,0.40460415386620785,0.5625,0
180,98.225295992059,298.0589175085321,0.4030493739498823,0.5546875,0
190,97.00838049867338,294.4117216096802,0.40181355193453006,0.5625,0
200,95.80360451297463,290.79783023798825,0.40078387393021986,0.5703125,0
210,94.60897683509,287.216286487445,0.39969113465726325,0.5625,0
220,93.42446204495849,283.66368758672616,0.39847048880927205,0.5703125,0
230,92.25280934371561,280.1410066569475,0.3969685237214974,0.5859375,0
240,91.09234659438573,276.66132583644855,0.3968847078111592,0.609375,0
250,89.94079878885121,273.21678967149575,0.39816495660738127,0.5859375,0
260,88.8031413411645,269.8001050547802,0.3964544743753975,0.59375,0
270,87.67555742237231,266.410004657517,0.39309106360629603,0.6015625,0
280,86.56066106778616,263.0590150397561,0.3914926203659349,0.6015625,0
290,85.45927081191786,259.744372524607,0.39032554779951245,0.609375,0
300,84.36761360016767,256.4615621201339,0.38925071887621543,0.609375,0
310,83.28818049033465,253.21254915814927,0.3876952643196788,0.6171875,0
320,82.2203736597982,249.99516420156073,0.3855048285667644,0.6171875,0
330,81.16646569224726,246.8140080457018,0.3844577484243474,0.6171875,0
340,80.12354598298072,243.6667616471299,0.38353536898946117,0.6171875,0
350,79.09355096687761,240.55373044867287,0.3831612647084576,0.6171875,0
360,78.07493883372193,237.4702152690639,0.38179541902669933,0.6171875,0
370,77.0675902557527,234.42017155520543,0.38013392442849203,0.625,0
380,76.0699774337678,231.41057246588568,0.3807969706307489,0.625,0
390,75.08397914323636,228.42928470392332,0.38022930433156005,0.625,0
400,74.1098226414815,225.48051015733293,0.37855511797743474,0.625,0
410,73.14623391277824,222.56532028433242,0.3767806392386091,0.625,0
420,72.19312836944948,219.68049986499128,0.37460547032489677,0.6328125,0
430,71.251729837129,216.82944683494495,0.37257539017666597,0.6484375,0
440,70.3228727550375,214.01100609307593,0.3705004661911363,0.640625,0
450,69.40261944618743,211.22409618061985,0.3680762260998143,0.640625,0
460,68.49312452644247,208.46935336578167,0.3659442716213739,0.6484375,0
470,67.59443728489859,205.74736587549882,0.3642466267005966,0.6484375,0
480,66.70576127933934,203.0574175767303,0.3627621250840282,0.65625,0
490,65.82770559085836,200.40000559022994,0.3617259867532622,0.65625,0
500,64.95943467153931,197.77283962153058,0.3605076178825256,0.6640625,0
