Node,output
0,0.9880610318527153
1,0.9573497309218028
10,0.8741869533154693
100,0.33107373677847207
101,0.5777569583383912
102,0.7291143682134876
103,0.1600096831840109
104,0.7991914939658986
105,0.6857571131196349
106,0.2137257416633493
107,0.7163049450586908
108,0.1403777535685602
109,0.389803896686671
11,0.8253784887843785
110,0.12856247004510213
111,0.5417049378861434
112,0.618648858771379
113,0.6537621486618549
114,0.6243306470375555
115,0.739460164831068
116,0.7886132551459271
117,0.7091066024284823
118,0.5140613675867912
119,0.3182832127660795
12,0.7241240373302702
12-EthanediolEthyleneglycolConsumptionimport,0.5412306392024647
12-EthanediolEthyleneglycolProductionexport,0.48990608369452293
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport,0.30588155664536565
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,0.47449013557810593
120,0.9225672419144874
121,0.1628657836686135
122,0.45902512027236086
123,0.6721461433018109
124,0.10125761118162406
125,0.36253597130450865
126,0.6812583303439093
127,0.4658471522667354
128,0.3322634008031571
129,0.4725611833503234
13,0.40740707617600996
13-PropanediolConsumptionimportproductionexport,0.8993085173695945
13-PropanediolProductionexport,0.7347332842335668
130,0.5758254186484987
131,0.85541394982753
132,0.18903978102105826
133,0.45052524849833325
134,0.3421524067654176
135,0.18061214325536404
136,0.49493040642721664
137,0.4294625858776846
138,0.34652417694498483
139,0.6322635743027518
14,0.1709325608621614
140,0.7489968374882072
141,0.7460237633497687
142,0.2870753086458279
143,0.7825659633572498
144,0.6254710409167704
145,0.7813623848138009
146,0.6720220477196949
147,0.41980139509679004
148,0.4011974039097068
149,0.8639919317993076
15,0.1970895479038372
150,0.3969265213386241
151,0.6746246996565733
152,0.8614893665808591
153,0.07774539068769716
154,0.2171189278430583
155,0.9425070059811684
156,0.5481283623905908
157,0.6259034334025734
158,0.7522840962135813
159,0.5664672923284043
16,0.3356314544859045
160,0.6393194854322289
161,0.7090220563469574
162,0.5006827977498797
163,0.3273717482441583
164,0.5644454337871943
165,0.41834258771672556
166,0.06389014196560544
167,0.5600582055618316
168,0.6774962768939516
169,0.4296697267594126
17,0.8805646878461943
170,0.7992427230001171
171,0.5002246494524435
172,0.25157351878842565
173,0.7399315843890836
174,0.11483389051372628
175,0.23859659109194067
176,0.7099368256473582
177,0.21920759017231253
178,0.3222052543884266
179,0.6097552445915762
18,0.15744919487290282
180,0.380386422812245
181,0.5094417940398104
182,0.17711721377925813
183,0.48384971586112
184,0.180028651676748
185,0.18987282956738213
186,0.8273201623711219
187,0.1466017352424006
188,0.4549824917572826
189,0.6821126540121771
19,0.8993827945271273
190,0.45100530507643766
191,0.1285240177293815
192,0.14682000193926809
193,0.23642671760073386
194,0.044891046834760515
195,0.4219249188944324
196,0.7280225661770856
197,0.5084858276990275
198,0.4159656694919931
199,0.10301168862635215
2,0.825855008612525
2-Aminobutyricacid2-AminobutyrateProductionexport,0.4337541604140087
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,0.6120989870461921
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport,0.5557002463276195
2-methylbutyrate2-methylbutanoicacidConsumptionimport,0.32068439159059836
20,0.4083842540600147
200,0.061315598505283855
201,0.2511763070908464
202,0.7496155928760871
203,0.7474107616143599
204,0.6793774841110676
205,0.34200209160933004
206,0.6943411708825137
207,0.4489283565214373
208,0.40465031808521484
209,0.20453947034740208
21,0.781774827233516
210,0.17941197357904445
211,0.43166987000074303
213,0.3775063092641498
214,0.707519568426341
215,0.5659916231018288
216,0.1550397359042302
217,0.25372483819019653
218,0.7369008917395453
219,0.20313967878379918
22,0.18373424994538856
220,0.20768204113253416
221,0.460298094525486
222,0.7315067553355385
223,0.11581144198182858
224,0.4991830419490551
225,0.7394671944191901
226,0.16632549524622608
227,0.8627944664616072
228,0.2145000187993164
229,0.36981982660944707
23,0.793610073678455
230,0.3850216566608022
231,0.4972134396784567
232,0.3703617039481244
233,0.3205198391932823
234,0.09849642099967079
235,0.10533959696557231
236,0.6243838149714487
237,0.6914849025246805
238,0.4547597756526483
239,0.4952003607299507
24,0.4756274354873614
240,0.7949195606443104
241,0.7077198356325316
242,0.3480411005611445
243,0.639275900867802
244,0.4401826474200242
245,0.49884720926728054
246,0.42090874839605186
247,0.8446004997818675
248,0.8266621477092145
249,0.9297352899364123
25,0.8371189241380795
250,0.3570983782576956
251,0.7784874772847903
252,0.11206436891330605
253,0.49610397514261434
254,0.48548554038143793
255,0.2944169614619998
256,0.7798294969311624
257,0.5482551290770148
258,0.28345047564219267
259,0.4477353614931616
26,0.10294709352709004
260,0.534952941436977
261,0.38432220217949165
262,0.6468767008213966
263,0.3886955760622825
264,0.30279771324178184
265,0.8699463722012866
266,0.5079388807360962
267,0.6299897822569528
268,0.8388051923467383
269,0.20785060617789664
27,0.6135224984305391
270,0.5819353750017148
271,0.5696515512911791
272,0.7770108286039099
273,0.35445621465824967
274,0.5381824587695796
275,0.6919312970417844
276,0.665224384360856
277,0.13212881149912303
278,0.7345644464681657
279,0.39914167095955866
28,0.31296888818199925
280,0.5916995034768525
281,0.36769518268980894
282,0.5237893939608361
283,0.7680876103808791
284,0.35002495908540215
285,0.9272204660996557
286,0.7080910030955848
287,0.4695158831050587
288,0.500067380954044
289,0.7072415953586546
29,0.6067759565853644
290,0.9433242819435027
291,0.3963560338657732
292,0.2904147112963398
293,0.7154689547703755
294,0.5236542334205939
