Node,output
0,0.7855916328018053
1,0.5494768671214518
10,0.47949304497862244
100,0.6056015855205422
101,0.6115657443270254
102,0.4434243331204004
103,0.20421973583958464
104,0.5690128049398104
105,0.3132369626705462
106,0.675267115475406
107,0.540878165650229
108,0.3825726179361074
109,0.8752283441020372
11,0.5585040484182419
110,0.7151366643924917
111,0.7740031169283283
112,0.7855670909093884
113,0.4556498245992881
114,0.5120847665493251
115,0.6449734254517991
116,0.6080023189378917
117,0.7644481497784025
118,0.35814979036679856
119,0.38030330416302177
12,0.530308816378885
12-EthanediolEthyleneglycolConsumptionimport,0.5653202940108352
12-EthanediolEthyleneglycolProductionexport,0.2586425926011574
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport,0.2558227868164408
12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport,0.5675610042293796
120,0.7705802616712837
121,0.646192850571189
122,0.5157687798225252
123,0.6204560462649791
124,0.528673955828485
125,0.6265090889245238
126,0.364412118245308
127,0.3826603194276512
128,0.36463707426150455
129,0.6312661397550824
13,0.723544310138866
13-PropanediolConsumptionimportproductionexport,0.8393465628438103
13-PropanediolProductionexport,0.4719597934061042
130,0.30474190479550206
131,0.6860150080644767
132,0.23572088641063318
133,0.1556730195129885
134,0.638934448571067
135,0.42326676086781473
136,0.45463393621797726
137,0.7231572586725119
138,0.7461988916086432
139,0.6008937475010282
14,0.6245857013619679
140,0.6998766266104881
141,0.7922622462533576
142,0.859922161020448
143,0.2908630626452034
144,0.34055586018408995
145,0.33090181824991555
146,0.5272125654891249
147,0.5438799139633933
148,0.15253780520404608
149,0.27010220610544
15,0.42603510188681054
150,0.41237852759113924
151,0.3461834172361503
152,0.5269562276895613
153,0.6273994625645933
154,0.6322285151816931
155,0.7547279557193309
156,0.6078381789710677
157,0.6509661770278368
158,0.7454292572337322
159,0.5761022696960765
16,0.3014936975361344
160,0.32684307776129246
161,0.5474163394976069
162,0.5136050976019053
163,0.3414546733244118
164,0.25267307553106816
165,0.3796078063178661
166,0.7838918629722469
167,0.1351552536154396
168,0.5670520938891331
169,0.5070127125052244
17,0.5886783375937831
170,0.3943471986577358
171,0.07798976692411347
172,0.5334105369852326
173,0.27310895427732124
174,0.8066163940991558
175,0.6957111338733973
176,0.6629284649455376
177,0.20342466700392275
178,0.4929325533256969
179,0.8608547762292451
18,0.22104612157807071
180,0.42742686295228277
181,0.11443326252321409
182,0.726662877272418
183,0.3497937524167462
184,0.4573964254314465
185,0.4024807723433965
186,0.6600352588123096
187,0.21113320304392927
188,0.7873602559156222
189,0.818265234062483
19,0.4238100048484621
190,0.5153105829514307
191,0.4677436204300709
192,0.5017029799864101
193,0.18772809899744683
194,0.29578494346914225
195,0.8068559015618435
196,0.373749923948286
197,0.23378381453377678
198,0.35878247602614105
199,0.6215044153855991
2,0.3119430861682851
2-Aminobutyricacid2-AminobutyrateProductionexport,0.7173781477679311
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport,0.7719181896384867
2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport,0.1341499020520387
2-methylbutyrate2-methylbutanoicacidConsumptionimport,0.3852482380589388
20,0.679445277744046
200,0.30845717725509547
201,0.35612744388896195
202,0.43292045388121725
203,0.4708536581630141
204,0.7011366017229866
205,0.6440363026069272
206,0.6895844563709813
207,0.8386015802674011
208,0.4530993017500055
209,0.7515696275431024
21,0.6169206157951108
210,0.6769260762416273
211,0.8138773541899756
213,0.5614223769272628
214,0.6656202428504694
215,0.7348751939284323
216,0.5556428795823254
217,0.4219329741395923
218,0.5254519824705447
219,0.296569559227548
22,0.30228956651811256
220,0.30724062049449086
221,0.7832959236281876
222,0.4897171347288124
223,0.4219590166343658
224,0.6913376574497536
225,0.40933541694848313
226,0.5808874131955281
227,0.5829788250717763
228,0.1271571743772739
229,0.36340742632974665
23,0.6656639113384593
230,0.7679262106619112
231,0.8751074437893002
232,0.7187146663358063
233,0.7706259850531038
234,0.10888460669410427
235,0.892476058099287
236,0.26174061200485194
237,0.2952589262107562
238,0.19710503424210743
239,0.7540891095460647
24,0.09333402526663487
240,0.8569941949499319
241,0.9613778287622133
242,0.5134975629394968
243,0.6247338794729029
244,0.7150648832707892
245,0.3311064957071372
246,0.5956597109077887
247,0.6469510215012712
248,0.12349281226957239
249,0.6556645699001132
25,0.3642560674143164
250,0.5122289961401411
251,0.7595656941641028
252,0.4322720138843096
253,0.5444390654956958
254,0.12094227273629227
255,0.3653132625981548
256,0.5561157186434875
257,0.19774589581872135
258,0.15759503586565513
259,0.5040676427992395
26,0.6143585767135252
260,0.7833098646488288
261,0.7923876406149862
262,0.8139228267326951
263,0.2462350770079174
264,0.466069647499778
265,0.877402159431518
266,0.23756229298146375
267,0.44523056438280556
268,0.7751322223655461
269,0.1618407525880182
27,0.6823410643916678
270,0.7133446886978053
271,0.23484019772303177
272,0.2696953223969571
273,0.47253711024901496
274,0.45531287595323067
275,0.5352704927701233
276,0.7256768932664696
277,0.316428245619771
278,0.5558926676252375
279,0.49192228039656805
28,0.5969350729818045
280,0.9005247764604988
281,0.29918573568590867
282,0.8762866912829516
283,0.3052883688010244
284,0.5919849783436711
285,0.6888012900134356
286,0.33929406037278115
287,0.7194804777164274
288,0.6476732017168341
289,0.39268832695956846
29,0.5327885457926108
290,0.42345339828383427
291,0.29809319325990824
292,0.30616904260571026
293,0.39565019136019974
294,0.7483880128595748
295,0.4359939908408412
