Step	Memory_MB	Time
Tensorflow numgrad 169	22403.272704	2022-11-11 18:42:46
Tensorflow numgrad 17	22403.272704	2022-11-11 18:42:47
Tensorflow numgrad 170	22403.272704	2022-11-11 18:42:47
Tensorflow numgrad 171	22403.272704	2022-11-11 18:42:48
Tensorflow numgrad 172	22403.272704	2022-11-11 18:42:48
Tensorflow numgrad 173	22403.272704	2022-11-11 18:42:49
Tensorflow numgrad 174	22403.272704	2022-11-11 18:42:49
Tensorflow numgrad 175	22403.272704	2022-11-11 18:42:50
Tensorflow numgrad 176	22403.272704	2022-11-11 18:42:50
Tensorflow numgrad 177	22403.272704	2022-11-11 18:42:51
Tensorflow numgrad 178	22403.272704	2022-11-11 18:42:51
Tensorflow numgrad 179	22403.272704	2022-11-11 18:42:52
Tensorflow numgrad 18	22403.272704	2022-11-11 18:42:52
Tensorflow numgrad 180	22403.272704	2022-11-11 18:42:53
Tensorflow numgrad 181	22403.272704	2022-11-11 18:42:53
Tensorflow numgrad 182	22403.272704	2022-11-11 18:42:54
Tensorflow numgrad 183	22403.272704	2022-11-11 18:42:54
Tensorflow numgrad 184	22403.272704	2022-11-11 18:42:55
Tensorflow numgrad 185	22403.272704	2022-11-11 18:42:55
Tensorflow numgrad 186	22403.272704	2022-11-11 18:42:56
Tensorflow numgrad 187	22403.272704	2022-11-11 18:42:56
Tensorflow numgrad 188	22403.272704	2022-11-11 18:42:57
Tensorflow numgrad 189	22403.272704	2022-11-11 18:42:57
Tensorflow numgrad 19	22403.272704	2022-11-11 18:42:58
Tensorflow numgrad 190	22403.272704	2022-11-11 18:42:58
Tensorflow numgrad 191	22403.272704	2022-11-11 18:42:59
Tensorflow numgrad 192	22403.272704	2022-11-11 18:42:59
Tensorflow numgrad 193	22403.272704	2022-11-11 18:43:00
Tensorflow numgrad 194	22403.272704	2022-11-11 18:43:00
Tensorflow numgrad 195	22403.272704	2022-11-11 18:43:01
Tensorflow numgrad 196	22403.272704	2022-11-11 18:43:01
Tensorflow numgrad 197	22403.272704	2022-11-11 18:43:02
Tensorflow numgrad 198	22403.272704	2022-11-11 18:43:02
Tensorflow numgrad 199	22403.272704	2022-11-11 18:43:03
Tensorflow numgrad 2	22403.272704	2022-11-11 18:43:03
Tensorflow numgrad 2-Aminobutyricacid2-AminobutyrateProductionexport	22403.272704	2022-11-11 18:43:04
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport	22403.272704	2022-11-11 18:43:04
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport	22403.272704	2022-11-11 18:43:05
Tensorflow numgrad 2-methylbutyrate2-methylbutanoicacidConsumptionimport	22403.272704	2022-11-11 18:43:05
Tensorflow numgrad 20	22403.272704	2022-11-11 18:43:06
Tensorflow numgrad 200	22403.272704	2022-11-11 18:43:06
Tensorflow numgrad 201	22403.272704	2022-11-11 18:43:07
Tensorflow numgrad 202	22403.272704	2022-11-11 18:43:07
Tensorflow numgrad 203	22403.272704	2022-11-11 18:43:08
Tensorflow numgrad 204	22403.272704	2022-11-11 18:43:08
Tensorflow numgrad 205	22403.272704	2022-11-11 18:43:09
Tensorflow numgrad 206	22403.272704	2022-11-11 18:43:09
Tensorflow numgrad 207	22403.272704	2022-11-11 18:43:10
Tensorflow numgrad 208	22403.272704	2022-11-11 18:43:10
Tensorflow numgrad 209	22403.272704	2022-11-11 18:43:11
