Chemical compound	Metabolic activity	Microbial species or host cell type
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Bacillus subtilis
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Corynebacterium glutamicum
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Enterobacter cancerogenus
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Enterobacter cloacae
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import) & production (export)	Klebsiella pneumoniae
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Klebsiella variicola
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Production (export)	Lactobacillus plantarum
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pelobacter carbinolicus
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pelobacter propionicus
[R,R]-2,3-Butanediol ([R,R]-Butanediol, [S,S]-2,3-Butanediol, [S,S]-Butanediol)	Consumption (import)	Pseudomonas aeruginosa
1,2-diacylglycerol (1-acylglycerol, Monoacylglycerol, Monoglyceride, Monoacylglycerol)	Consumption (import)	Colonocyte (host colon)
1,2-Ethanediol (Ethylene glycol)	Production (export)	Bacteroides thetaiotaomicron
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelobacter carbinolicus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelobacter propionicus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Pelotomaculum thermopropionicum
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophobacter fumaroxidans
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophobotulus glycolicus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophomonas wolfei
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophothermus lipocalidus
1,2-Ethanediol (Ethylene glycol)	Consumption (import)	Syntrophus aciditrophicus
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Production (export)	Bacteroides thetaiotaomicron
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Consumption (import)	Clostridium butyricum
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Production (export)	Lactobacillus buchneri
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Consumption (import)	Pelobacter carbinolicus
1,2-propanediol (Propene diol, Propylene glycol, [R]-1,2-propanediol, [R]-propane-1,2-diol, [S]-1,2-propanediol, [S]-propane-1,2-diol)	Consumption (import)	Salmonella enterica
1,3-Propanediol	Production (export)	Citrobacter koseri
1,3-Propanediol	Production (export)	Citrobacter rodentium
1,3-Propanediol	Production (export)	Citrobacter youngae
1,3-Propanediol	Production (export)	Ilyobacter polytropus
1,3-Propanediol	Production (export)	Klebsiella pneumoniae
1,3-Propanediol	Production (export)	Lactobacillus brevis
1,3-Propanediol	Production (export)	Lactobacillus buchneri
1,3-Propanediol	Consumption (import) & production (export)	Pelobacter carbinolicus
1,3-Propanediol	Consumption (import)	Pelotomaculum thermopropionicum
2-Aminobutyric acid (2-Aminobutyrate)	Production (export)	Clostridium botulinum
2-Aminobutyric acid (2-Aminobutyrate)	Production (export)	Clostridium sporogenes
2-Aminobutyric acid (2-Aminobutyrate)	Production (export)	Clostridium sticklandii
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Colonocyte (host colon)
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Desulfobulbus propionicus
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Ruminococcus albus
2-methylbutyrate (2-methylbutanoic acid)	Consumption (import)	Ruminococcus bromii
2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	Consumption (import)	Anaerotruncus colihominis
2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	Production (export)	Clostridium sporogenes
2-Oxobutyrate (Alpha-ketobutyrate, 2-Oxobutanoate)	Consumption (import)	Porphyromonas asaccharolytica
3-phenylpropionic acid (Phenylpropanoate, 3-phenylpropionate)	Consumption (import)	Colonocyte (host colon)
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Clostridium acetobutylicum
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Clostridium butyricum
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Lactobacillus casei
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Lactobacillus plantarum
4-Aminobenzoate (para-amino, Benzoic acid)	Consumption (import)	Ruminococcus albus
4-Aminobutyrate (GABA)	Consumption (import)	Agrobacterium tumefaciens (Rhizobium radiobacter)
4-Aminobutyrate (GABA)	Consumption (import)	Anaerostipes caccae
4-Aminobutyrate (GABA)	Consumption (import)	Bacillus subtilis
4-Aminobutyrate (GABA)	Production (export)	Bifidobacterium adolescentis
4-Aminobutyrate (GABA)	Production (export)	Bifidobacterium dentium
4-Aminobutyrate (GABA)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
4-Aminobutyrate (GABA)	Consumption (import)	Clostridium acetobutylicum
4-Aminobutyrate (GABA)	Production (export)	Clostridium botulinum
4-Aminobutyrate (GABA)	Production (export)	Clostridium difficile
4-Aminobutyrate (GABA)	Production (export)	Clostridium sporogenes
4-Aminobutyrate (GABA)	Consumption (import)	Colonocyte (host colon)
4-Aminobutyrate (GABA)	Consumption (import)	Corynebacterium glutamicum
4-Aminobutyrate (GABA)	Production (export)	Escherichia coli
4-Aminobutyrate (GABA)	Production (export)	Lactobacillus brevis
4-Aminobutyrate (GABA)	Production (export)	Lactobacillus rhamnosus
4-Aminobutyrate (GABA)	Production (export)	Pseudomonas aeruginosa
4-Aminobutyrate (GABA)	Production (export)	Pseudomonas fluorescens
5-Aminovalerate	Production (export)	Clostridium botulinum
5-Aminovalerate	Production (export)	Clostridium difficile
5-Aminovalerate	Production (export)	Clostridium sporogenes
5-Aminovalerate	Production (export)	Clostridium sticklandii
Acetaldehyde	Consumption (import)	Colonocyte (host colon)
Acetate	Production (export)	Acetivibrio cellulolyticus
Acetate	Production (export)	Acetobacter pasteurianus
Acetate	Production (export)	Acetohalobium arabaticum
Acetate	Production (export)	Acholeplasma laidlawii
Acetate	Production (export)	Acidaminococcus fermentans
Acetate	Production (export)	Actinomyces coleocanis
Acetate	Production (export)	Actinomyces odontolyticus
Acetate	Production (export)	Actinomyces oris
Acetate	Production (export)	Actinomyces urogenitalis
Acetate	Production (export)	Actinomyces viscosus
Acetate	Consumption (import) & production (export)	Anaerostipes caccae
Acetate	Production (export)	Anaerotruncus colihominis
Acetate	Production (export)	Archaeoglobus fulgidus
Acetate	Production (export)	Atopobium parvulum
Acetate	Production (export)	Atopobium rimae
Acetate	Production (export)	Atopobium vaginae
Acetate	Production (export)	Bacillus subtilis
Acetate	Production (export)	Bacteroides caccae
Acetate	Production (export)	Bacteroides cellulosilyticus
Acetate	Production (export)	Bacteroides coprocola
Acetate	Production (export)	Bacteroides coprophilus
Acetate	Production (export)	Bacteroides dorei
Acetate	Production (export)	Bacteroides eggerthii
Acetate	Production (export)	Bacteroides finegoldii (Alistipes finegoldii)
Acetate	Production (export)	Bacteroides fragilis
Acetate	Production (export)	Bacteroides helcogenes
Acetate	Production (export)	Bacteroides intestinalis
Acetate	Production (export)	Bacteroides ovatus
Acetate	Production (export)	Bacteroides pectinophilus
Acetate	Production (export)	Bacteroides plebeius
Acetate	Production (export)	Bacteroides salanitronis
Acetate	Production (export)	Bacteroides stercoris
Acetate	Production (export)	Bacteroides thetaiotaomicron
Acetate	Production (export)	Bacteroides uniformis
Acetate	Production (export)	Bacteroides vulgatus
Acetate	Production (export)	Bacteroides xylanisolvens
Acetate	Production (export)	Bifidobacterium adolescentis
Acetate	Production (export)	Bifidobacterium angulatum
Acetate	Production (export)	Bifidobacterium animalis
Acetate	Production (export)	Bifidobacterium bifidum
Acetate	Production (export)	Bifidobacterium breve
Acetate	Production (export)	Bifidobacterium catenulatum
Acetate	Production (export)	Bifidobacterium dentium
Acetate	Production (export)	Bifidobacterium gallicum
Acetate	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Acetate	Production (export)	Bifidobacterium pseudocatenulatum
Acetate	Production (export)	Bilophila wadsworthia
Acetate	Production (export)	Blautia hydrogenotrophica (Ruminococcus hydrogenotrophicus)
Acetate	Consumption (import) & production (export)	Butyrivibrio crossotus
Acetate	Consumption (import) & production (export)	Butyrivibrio fibrisolvens
Acetate	Consumption (import) & production (export)	Butyrivibrio proteoclasticus
Acetate	Production (export)	Catenibacterium mitsuokai
Acetate	Production (export)	Citrobacter koseri
Acetate	Production (export)	Citrobacter rodentium
Acetate	Production (export)	Citrobacter youngae
Acetate	Production (export)	Clostridium acetobutylicum
Acetate	Production (export)	Clostridium asparagiforme
Acetate	Production (export)	Clostridium bartlettii
Acetate	Production (export)	Clostridium beijerinckii
Acetate	Production (export)	Clostridium bolteae
Acetate	Production (export)	Clostridium botulinum
Acetate	Production (export)	Clostridium butyricum
Acetate	Production (export)	Clostridium carboxidivorans
Acetate	Production (export)	Clostridium cellulolyticum
Acetate	Production (export)	Clostridium cellulovorans
Acetate	Production (export)	Clostridium cf
Acetate	Production (export)	Clostridium difficile
Acetate	Production (export)	Clostridium hathewayi
Acetate	Production (export)	Clostridium hiranonis
Acetate	Production (export)	Clostridium hylemonae
Acetate	Consumption (import) & production (export)	Clostridium kluyveri
Acetate	Production (export)	Clostridium leptum
Acetate	Production (export)	Clostridium ljungdahlii
Acetate	Production (export)	Clostridium methylpentosum
Acetate	Production (export)	Clostridium nexile
Acetate	Production (export)	Clostridium novyi
Acetate	Production (export)	Clostridium papyrosolvens
Acetate	Production (export)	Clostridium perfringens
Acetate	Production (export)	Clostridium phytofermentans
Acetate	Production (export)	Clostridium saccharolyticum
Acetate	Production (export)	Clostridium scindens
Acetate	Production (export)	Clostridium sporogenes
Acetate	Production (export)	Clostridium sticklandii
Acetate	Production (export)	Clostridium symbiosum
Acetate	Production (export)	Clostridium tetani
Acetate	Production (export)	Clostridium thermocellum
Acetate	Consumption (import)	Colonocyte (host colon)
Acetate	Consumption (import)	Comamonas testosteroni
Acetate	Consumption (import) & production (export)	Coprococcus catus
Acetate	Production (export)	Coprococcus comes
Acetate	Consumption (import) & production (export)	Coprococcus eutactus
Acetate	Consumption (import) & production (export)	Desulfobulbus propionicus
Acetate	Consumption (import)	Desulfotomaculum acetoxidans
Acetate	Consumption (import)	Desulfotomaculum nigrificans
Acetate	Consumption (import)	Desulfotomaculum reducens
Acetate	Consumption (import) & production (export)	Desulfovibrio aespoeensis
Acetate	Consumption (import) & production (export)	Desulfovibrio desulfuricans
Acetate	Consumption (import) & production (export)	Desulfovibrio fructosovorans
Acetate	Consumption (import) & production (export)	Desulfovibrio magneticus
Acetate	Consumption (import) & production (export)	Desulfovibrio piger
Acetate	Consumption (import) & production (export)	Desulfovibrio salexigens
Acetate	Consumption (import) & production (export)	Desulfovibrio vulgaris
Acetate	Consumption (import)	Desulfuromonas acetoxidans
Acetate	Production (export)	Dialister invisus
Acetate	Production (export)	Dorea formicigenerans
Acetate	Production (export)	Dorea longicatena
Acetate	Production (export)	Enterococcus casseliflavus
Acetate	Production (export)	Enterococcus faecalis (Streptococcus faecalis)
Acetate	Production (export)	Enterococcus faecium (Streptococcus faecium)
Acetate	Production (export)	Enterococcus gallinarum
Acetate	Production (export)	Enterococcus italicus
Acetate	Production (export)	Escherichia albertii
Acetate	Production (export)	Escherichia coli
Acetate	Production (export)	Escherichia fergusonii
Acetate	Consumption (import)	Eubacterium cellulosolvens
Acetate	Consumption (import)	Eubacterium eligens
Acetate	Consumption (import)	Eubacterium hallii
Acetate	Consumption (import) & production (export)	Eubacterium limosum
Acetate	Consumption (import) & production (export)	Eubacterium rectale
Acetate	Consumption (import)	Eubacterium saburreum
Acetate	Consumption (import)	Eubacterium saphenum
Acetate	Consumption (import) & production (export)	Eubacterium siraeum
Acetate	Consumption (import)	Eubacterium ventriosum
Acetate	Consumption (import) & production (export)	Faecalibacterium prausnitzii
Acetate	Production (export)	Fibrobacter succinogenes (Bacteroides succinogenes)
Acetate	Production (export)	Finegoldia magna
Acetate	Consumption (import) & production (export)	Fusobacterium nucleatum
Acetate	Consumption (import)	Geobacter bemidjiensis
Acetate	Consumption (import)	Geobacter lovleyi
Acetate	Consumption (import) & production (export)	Geobacter metallireducens
Acetate	Consumption (import)	Geobacter sulfurreducens
Acetate	Consumption (import)	Geobacter uraniumreducens
Acetate	Consumption (import)	Haloarcula marismortui
Acetate	Consumption (import)	Haloferax volcanii
Acetate	Production (export)	Holdemania filiformis
Acetate	Consumption (import) & production (export)	Klebsiella pneumoniae
Acetate	Production (export)	Lactobacillus acidophilus
Acetate	Production (export)	Lactobacillus amylolyticus
Acetate	Production (export)	Lactobacillus amylovorus
Acetate	Production (export)	Lactobacillus antri
Acetate	Production (export)	Lactobacillus brevis
Acetate	Production (export)	Lactobacillus buchneri
Acetate	Production (export)	Lactobacillus casei
Acetate	Production (export)	Lactobacillus coleohominis
Acetate	Production (export)	Lactobacillus crispatus
Acetate	Production (export)	Lactobacillus delbrueckii
Acetate	Production (export)	Lactobacillus fermentum
Acetate	Production (export)	Lactobacillus gasseri
Acetate	Production (export)	Lactobacillus helveticus
Acetate	Production (export)	Lactobacillus hilgardii
Acetate	Production (export)	Lactobacillus iners
Acetate	Production (export)	Lactobacillus jensenii
Acetate	Production (export)	Lactobacillus johnsonii
Acetate	Production (export)	Lactobacillus oris
Acetate	Production (export)	Lactobacillus paracasei
Acetate	Production (export)	Lactobacillus plantarum
Acetate	Production (export)	Lactobacillus reuteri
Acetate	Production (export)	Lactobacillus rhamnosus
Acetate	Production (export)	Lactobacillus ruminis
Acetate	Production (export)	Lactobacillus sakei
Acetate	Production (export)	Lactobacillus salivarius
Acetate	Production (export)	Lactobacillus ultunensis
Acetate	Production (export)	Lactobacillus vaginalis
Acetate	Production (export)	Lactococcus lactis
Acetate	Production (export)	Marvinbryantia formatexigens
Acetate	Production (export)	Megamonas hypermegale
Acetate	Production (export)	Megasphaera micronuciformis
Acetate	Consumption (import)	Methanobrevibacter ruminantium
Acetate	Consumption (import)	Methanobrevibacter smithii
Acetate	Consumption (import)	Methanococcus maripaludis
Acetate	Consumption (import)	Methanosaeta thermophila
Acetate	Consumption (import) & production (export)	Methanosarcina acetivorans
Acetate	Consumption (import)	Methanosarcina barkeri
Acetate	Consumption (import)	Methanosarcina mazei
Acetate	Consumption (import)	Methanosphaera stadtmanae
Acetate	Consumption (import)	Methanosphaerula palustris
Acetate	Consumption (import)	Methanospirillum hungatei
Acetate	Production (export)	Moorella thermoacetica
Acetate	Production (export)	Mycoplasma agalactiae
Acetate	Production (export)	Mycoplasma alligatoris
Acetate	Production (export)	Mycoplasma arthritidis
Acetate	Production (export)	Mycoplasma bovis
Acetate	Production (export)	Mycoplasma capricolum
Acetate	Production (export)	Mycoplasma conjunctivae
Acetate	Production (export)	Mycoplasma crocodyli
Acetate	Production (export)	Mycoplasma fermentans
Acetate	Production (export)	Mycoplasma gallisepticum
Acetate	Production (export)	Mycoplasma genitalium
Acetate	Production (export)	Mycoplasma haemofelis
Acetate	Production (export)	Mycoplasma hominis
Acetate	Production (export)	Mycoplasma hyopneumoniae
Acetate	Production (export)	Mycoplasma hyorhinis
Acetate	Production (export)	Mycoplasma leachii
Acetate	Production (export)	Mycoplasma mobile
Acetate	Production (export)	Mycoplasma mycoides
Acetate	Production (export)	Mycoplasma penetrans
Acetate	Production (export)	Mycoplasma pneumoniae
Acetate	Production (export)	Mycoplasma pulmonis
Acetate	Production (export)	Mycoplasma synoviae
Acetate	Production (export)	Odoribacter splanchnicus
Acetate	Production (export)	Parabacteroides johnsonii
Acetate	Production (export)	Parabacteroides merdae
Acetate	Production (export)	Parvularcula bermudensis
Acetate	Production (export)	Pelobacter carbinolicus
Acetate	Production (export)	Pelobacter propionicus
Acetate	Production (export)	Pelotomaculum thermopropionicum
Acetate	Production (export)	Peptostreptococcus anaerobius
Acetate	Production (export)	Peptostreptococcus stomatis
Acetate	Production (export)	Prevotella amnii
Acetate	Production (export)	Prevotella bergensis
Acetate	Production (export)	Prevotella bivia
Acetate	Production (export)	Prevotella bryantii
Acetate	Production (export)	Prevotella buccae
Acetate	Production (export)	Prevotella buccalis
Acetate	Production (export)	Prevotella copri
Acetate	Production (export)	Prevotella disiens
Acetate	Production (export)	Prevotella marshii
Acetate	Production (export)	Prevotella melaninogenica (Bacteroides melaninogenicus)
Acetate	Production (export)	Prevotella multiformis
Acetate	Production (export)	Prevotella oralis
Acetate	Production (export)	Prevotella oris
Acetate	Production (export)	Prevotella ruminicola (Bacteroides ruminicola)
Acetate	Production (export)	Prevotella salivae
Acetate	Production (export)	Prevotella tannerae
Acetate	Production (export)	Prevotella timonensis
Acetate	Production (export)	Prevotella veroralis
Acetate	Production (export)	Propionibacterium acnes
Acetate	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)
Acetate	Production (export)	Pseudoflavonifractor capillosus
Acetate	Consumption (import)	Pseudomonas mendocina
Acetate	Production (export)	Pyramidobacter piscolens
Acetate	Production (export)	Pyrococcus furiosus
Acetate	Consumption (import)	Roseburia intestinalis
Acetate	Consumption (import)	Roseburia inulinivorans
Acetate	Production (export)	Ruminococcus albus
Acetate	Production (export)	Ruminococcus bromii
Acetate	Production (export)	Ruminococcus flavefaciens
Acetate	Production (export)	Ruminococcus gnavus
Acetate	Production (export)	Ruminococcus obeum
Acetate	Production (export)	Ruminococcus torques
Acetate	Production (export)	Selenomonas artemidis
Acetate	Production (export)	Selenomonas flueggei
Acetate	Production (export)	Selenomonas noxia
Acetate	Production (export)	Selenomonas sputigena
Acetate	Production (export)	Shewanella putrefaciens (Pseudomonas putrefaciens)
Acetate	Production (export)	Streptococcus agalactiae
Acetate	Production (export)	Streptococcus anginosus
Acetate	Production (export)	Streptococcus australis
Acetate	Production (export)	Streptococcus bovis (Streptococcus equinus)
Acetate	Production (export)	Streptococcus cristatus
Acetate	Production (export)	Streptococcus downei
Acetate	Production (export)	Streptococcus dysgalactiae
Acetate	Production (export)	Streptococcus equi
Acetate	Production (export)	Streptococcus gallolyticus
Acetate	Production (export)	Streptococcus gordonii
Acetate	Production (export)	Streptococcus infantarius
Acetate	Production (export)	Streptococcus infantis
Acetate	Production (export)	Streptococcus mitis
Acetate	Production (export)	Streptococcus mutans
Acetate	Production (export)	Streptococcus oralis
Acetate	Production (export)	Streptococcus parasanguinis
Acetate	Production (export)	Streptococcus peroris
Acetate	Production (export)	Streptococcus pneumoniae
Acetate	Production (export)	Streptococcus pseudoporcinus
Acetate	Production (export)	Streptococcus pyogenes
Acetate	Production (export)	Streptococcus salivarius
Acetate	Production (export)	Streptococcus sanguinis
Acetate	Production (export)	Streptococcus suis
Acetate	Production (export)	Streptococcus thermophilus
Acetate	Production (export)	Streptococcus uberis
Acetate	Production (export)	Streptococcus vestibularis
Acetate	Production (export)	Subdoligranulum variabile
Acetate	Production (export)	Syntrophobacter fumaroxidans
Acetate	Production (export)	Syntrophobotulus glycolicus
Acetate	Production (export)	Syntrophomonas wolfei
Acetate	Production (export)	Syntrophothermus lipocalidus
Acetate	Production (export)	Syntrophus aciditrophicus
Acetate	Production (export)	Thermotoga maritima
Acetate	Production (export)	Veillonella atypica
Acetate	Production (export)	Veillonella dispar
Acetate	Production (export)	Veillonella parvula
Acetate	Consumption (import)	Wolinella succinogenes
Acetate	Consumption (import)	Xanthomonas campestris
Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)	Production (export)	Lactobacillus plantarum
Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)	Consumption (import)	Pelobacter carbinolicus
Acetoin (3-hydroxybutanone, acetyl methyl carbinol, [R]-Acetoin)	Consumption (import)	Pelobacter propionicus
Acetone	Production (export)	Bacillus subtilis
Acetone	Production (export)	Clostridium acetobutylicum
Acetone	Production (export)	Clostridium asparagiforme
Acetone	Production (export)	Clostridium bartlettii
Acetone	Production (export)	Clostridium beijerinckii
Acetone	Production (export)	Clostridium bolteae
Acetone	Production (export)	Clostridium botulinum
Acetone	Production (export)	Clostridium butyricum
Acetone	Production (export)	Clostridium carboxidivorans
Acetone	Production (export)	Clostridium cellulolyticum
Acetone	Production (export)	Clostridium cellulovorans
Acetone	Production (export)	Clostridium cf
Acetone	Production (export)	Clostridium difficile
Acetone	Production (export)	Clostridium hathewayi
Acetone	Production (export)	Clostridium hiranonis
Acetone	Production (export)	Clostridium hylemonae
Acetone	Production (export)	Clostridium kluyveri
Acetone	Production (export)	Clostridium leptum
Acetone	Production (export)	Clostridium ljungdahlii
Acetone	Production (export)	Clostridium methylpentosum
Acetone	Production (export)	Clostridium nexile
Acetone	Production (export)	Clostridium novyi
Acetone	Production (export)	Clostridium papyrosolvens
Acetone	Production (export)	Clostridium perfringens
Acetone	Production (export)	Clostridium phytofermentans
Acetone	Production (export)	Clostridium saccharolyticum
Acetone	Production (export)	Clostridium scindens
Acetone	Production (export)	Clostridium sporogenes
Acetone	Production (export)	Clostridium sticklandii
Acetone	Production (export)	Clostridium symbiosum
Acetone	Production (export)	Clostridium tetani
Acetone	Production (export)	Clostridium thermocellum
Acetone	Consumption (import)	Colonocyte (host colon)
Adenine	Consumption (import)	Colonocyte (host colon)
Adenosine	Consumption (import)	Colonocyte (host colon)
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bacillus megaterium
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacillus subtilis
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides eggerthii
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides fragilis
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides thetaiotaomicron
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides vulgatus
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bifidobacterium bifidum
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bifidobacterium breve
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Colonocyte (host colon)
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Corynebacterium diphtheriae
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Deinococcus radiodurans
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import) & production (export)	Escherichia coli
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import) & production (export)	Klebsiella pneumoniae
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Lactobacillus delbrueckii
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Lactobacillus reuteri
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Listeria innocua
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Mesorhizobium loti
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Mycobacterium leprae
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Mycobacterium smegmatis
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Parabacteroides distasonis
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Porphyromonas gingivalis
