iteration,train,validation,error,accuracy,breakCounter
1,71.63142791746154,214.00558191064857,0.5591143388070521,0.421875,0
2,71.31926534466739,213.5261668680634,0.5553427315223852,0.453125,0
3,71.20648542124428,213.22416475117035,0.5555614658728526,0.46875,0
4,71.13184700299736,212.97025667935017,0.5570004479006158,0.421875,0
5,71.01087232877461,212.70359193399455,0.5574084602141185,0.40625,0
6,70.86285374443946,212.41908367269778,0.5571401382263661,0.421875,0
7,70.72285639653246,212.1370532761428,0.5560567045162831,0.4609375,0
8,70.59500682652383,211.87419214742417,0.5548887828200251,0.453125,0
9,70.48795451269102,211.61696268996357,0.549267254087866,0.4609375,0
10,70.38988145514344,211.34798809099837,0.5416683527125695,0.4609375,0
20,69.30298862744891,208.4906603669112,0.5064698616228691,0.5234375,0
30,68.27958442219392,205.6750888652533,0.4779500874898953,0.5546875,0
40,67.29465390240664,202.91587540972466,0.4613907608857216,0.5703125,0
50,66.31868913302098,200.16204038871922,0.45057199628770117,0.6015625,0
60,65.37080317636648,197.42604995089775,0.4435496102245895,0.59375,0
70,64.43087028575307,194.7072085698058,0.4402865193664548,0.578125,0
80,63.504532220855225,192.0094357473239,0.4373057026252243,0.5859375,0
90,62.58748544335771,189.3265449301692,0.4322479970547253,0.6015625,0
100,61.69217325329061,186.66604331280857,0.4276617762586693,0.6015625,0
110,60.80267386741398,184.0334682207907,0.42468299091974904,0.6015625,0
120,59.92366394100114,181.42574350700232,0.4207005979809425,0.6015625,0
130,59.057326467909306,178.8440349766077,0.4160290831959105,0.625,0
140,58.1998170113829,176.29242196118744,0.41047385443551465,0.6484375,0
150,57.353491158153474,173.77339271268755,0.4078854743184208,0.6328125,0
160,56.51693060028543,171.28596315902993,0.4055246242403241,0.65625,0
170,55.69534890604435,168.82617290808435,0.4035556111985789,0.6640625,0
180,54.882908253955776,166.39637961326994,0.40190118879540343,0.6484375,0
190,54.08118869307176,163.99720272284316,0.3996851696594167,0.625,0
200,53.28997194484543,161.62936538305732,0.3976839357884533,0.625,0
210,52.511319273148096,159.29311828065198,0.39571601725146743,0.6328125,0
220,51.74174827796432,156.98641808274044,0.39349800112777367,0.640625,0
230,50.98178933397884,154.7129095665173,0.3919776346228032,0.640625,0
240,50.23327669139272,152.47066430732295,0.3905246260822271,0.6484375,0
250,49.495492868235374,150.25780761555407,0.38901969429176797,0.640625,0
260,48.76952403126247,148.0744200217862,0.3875628662445327,0.640625,0
270,48.05222860578329,145.9200317561773,0.3858609121989329,0.65625,0
280,47.342196750266226,143.7941786157472,0.38367566922291463,0.6484375,0
290,46.64790560767445,141.69867447536035,0.3821315523380848,0.6484375,0
300,45.96070454257208,139.6334954567232,0.3809771161836981,0.6484375,0
310,45.28298511772343,137.60013381788036,0.3809392031582022,0.65625,0
320,44.61606249047684,135.5919282328466,0.3793530894879794,0.6640625,0
330,43.958121331720506,133.61239741697904,0.37804372714373496,0.6640625,0
340,43.31099849933124,131.66161497525195,0.37714875577418483,0.6640625,0
350,42.672076823467386,129.73805970091738,0.37634672268909464,0.6640625,0
360,42.04253904333859,127.84117710164193,0.37512473076346664,0.671875,0
370,41.421850841349276,125.97146914674506,0.3739228981201207,0.671875,0
380,40.809425172730485,124.12839161314707,0.37284454340785655,0.671875,0
390,40.20666334277734,122.31245275911778,0.37215146356873263,0.671875,0
400,39.61204654038556,120.52141538113946,0.37124636642141395,0.671875,0
410,39.02623829604308,118.75547698181019,0.3703841503730856,0.6875,0
420,38.44917658140231,117.01385173832062,0.3694860215913149,0.6953125,0
430,37.879806160734695,115.29772483390498,0.36852415520597337,0.6875,0
440,37.31840594647259,113.60547539543924,0.3676013011273386,0.6875,0
450,36.76513470586415,111.93779689476135,0.36665646964616233,0.6875,0
460,36.2201331128911,110.29403794851949,0.3658771658586964,0.6875,0
470,35.68323668921955,108.67399662841939,0.3652299221823647,0.6796875,0
480,35.154647413416896,107.07669860290974,0.3642603442676716,0.6796875,0
490,34.63358144661078,105.50233841435414,0.36336363132460403,0.6796875,0
500,34.11953234719576,103.95101867429818,0.36249500891549374,0.6796875,0
510,33.61393849533047,102.42209866766298,0.36160579166700857,0.6796875,0
520,33.115018583948384,100.91538275397676,0.3608227318662035,0.6796875,0
530,32.62323700479082,99.43100223457547,0.3602179495334239,0.671875,0
540,32.13862808820916,97.96749753380169,0.3595694069069276,0.6796875,0
550,31.66104508229379,96.52574667657093,0.3590007547285002,0.6796875,0
560,31.190374889284975,95.10476398573027,0.35849744511009307,0.6875,0
570,30.72668562507975,93.70667471072993,0.35875518695573033,0.6796875,0
580,30.26972226488352,92.32664338783536,0.3580734767935553,0.6796875,0
590,29.81980296785612,90.96609241904133,0.357211604510034,0.6796875,0
600,29.376056164121888,89.62594457509094,0.35680718847637766,0.6796875,0
610,28.939106217294867,88.30609025024582,0.35663991767103564,0.6796875,0
620,28.508287629540888,87.0044002154672,0.3561089789036447,0.6796875,0
630,28.083698841774407,85.7226628314628,0.3557895800182559,0.6796875,0
640,27.665582144246606,84.45952720443609,0.35569549054626254,0.6796875,0
650,27.253123865412295,83.21527921415456,0.3552567222636738,0.671875,0
660,26.847260894705443,81.98950662005409,0.35524653047947785,0.6796875,0
670,26.44674075695603,80.78188454199378,0.35498947264128816,0.671875,0
680,26.052073723257756,79.59253235929155,0.35483597569982495,0.671875,0
690,25.6629081432299,78.42137912321944,0.3551337578244291,0.6640625,0
700,25.27948039861503,77.26635238723918,0.35518611218779556,0.6640625,0
710,24.901602527802382,76.12733992903169,0.3547813664172083,0.671875,0
720,24.52914361165481,75.00366005023253,0.35437133896340844,0.6640625,0
730,24.162891973037365,73.89775652204679,0.3541654445111669,0.6640625,0
740,23.801507557919535,72.80605683067157,0.35378402590024915,0.6640625,0
750,23.44545764689388,71.73061489667504,0.353343911226182,0.6640625,0
760,23.09420366463762,70.67083740016122,0.3528833437248132,0.6640625,0
770,22.749179807763927,69.62603221895242,0.3522358088941525,0.6640625,0
780,22.408367916035132,68.59693296267069,0.35208326350593955,0.6640625,0
790,22.072256762711127,67.58503356763227,0.35225956798835556,0.6640625,0
800,21.742053956744755,66.58619492674732,0.3519442090361711,0.65625,0
810,21.416214886938928,65.60195465736233,0.35159865846084004,0.65625,0
820,21.095125024130077,64.63093245881899,0.3507133910735709,0.65625,0
830,20.778682835122265,63.67435516650238,0.3501620644492073,0.65625,0
840,20.466985980823868,62.73211631685492,0.3494790357633209,0.6640625,0
850,20.159824742062682,61.804236567183324,0.3485879811755853,0.6640625,0
860,19.857025745531374,60.889972217626145,0.34757558721869775,0.6640625,0
870,19.55869202779659,59.9883830449001,0.34666320723659105,0.6640625,0
880,19.26465321821336,59.099574278361445,0.3455171291977126,0.671875,0
890,18.974968191225482,58.22401728657479,0.34470621966999293,0.671875,0
900,18.689872708894445,57.360898815474066,0.344015128050305,0.6640625,0
910,18.40871374140461,56.510404001765245,0.34323823627800215,0.65625,0
920,18.131514294948676,55.672560713814605,0.3424488592124033,0.65625,0
930,17.858516802229772,54.84726407540669,0.3416378000405571,0.6640625,0
940,17.58923510036911,54.035293506752474,0.3412524760532121,0.6640625,0
950,17.324387227769762,53.235767366646286,0.3409964337463709,0.6640625,0
960,17.063200432488546,52.447735094437526,0.3406593645160474,0.6640625,0
970,16.805844242889957,51.6713796341638,0.3404602771853893,0.6640625,0
980,16.55236478520047,50.90636007777037,0.3401763931754884,0.6640625,0
990,16.302554468922484,50.15357649490229,0.34000664056460617,0.6640625,0
1000,16.05633382913983,49.41197497461298,0.3398407604657238,0.6640625,0
