iteration,train,validation,error,accuracy,breakCounter
1,37.89848989731098,112.31146748188769,0.4711673819881055,0.546875,0
2,37.81924402073951,112.27887004493331,0.46475805052949837,0.5390625,0
3,37.74170417981841,112.06044858010367,0.46709752223467915,0.515625,0
4,37.676227122949946,111.8645036650992,0.4699338671511989,0.5625,0
5,37.61479083230892,111.70166274852718,0.46989220388956787,0.5390625,0
6,37.53877369871833,111.55436308248241,0.467422048134262,0.546875,0
7,37.460659639616104,111.42159440285297,0.4640719040121231,0.5703125,0
8,37.39872794927939,111.28994223192576,0.4626474506662494,0.546875,0
9,37.32828214202112,111.14325769080511,0.463985409807833,0.5546875,0
10,37.25563345289503,110.97142229725823,0.4637844719319525,0.546875,0
20,36.63720038833023,109.4561735376306,0.45274091078182693,0.5703125,0
30,36.05582374773479,107.90856530575299,0.43813509148027074,0.5703125,0
40,35.50175444240017,106.41418546947517,0.42461281074769275,0.5703125,0
50,34.96799976468595,104.91930548351169,0.41317940650809104,0.609375,0
60,34.44190868288645,103.43325079203812,0.4043152224467647,0.6328125,0
70,33.929670983304405,101.97173823082908,0.39742597257526224,0.640625,0
80,33.42314974805701,100.52301066565515,0.39217206075293204,0.640625,0
90,32.92409959209352,99.0926461417057,0.3881867207287968,0.6484375,0
100,32.43091199301854,97.67684783569705,0.38432005169457806,0.65625,0
110,31.949448870947542,96.27148897785983,0.3800591475062116,0.671875,0
120,31.45729202711899,94.88823078402315,0.3763730782676169,0.6796875,0
130,31.007773811538414,93.52177418741884,0.37300082386964384,0.671875,0
140,30.5467167745708,92.17066182634906,0.3699315594798178,0.671875,0
150,30.096244352395203,90.84131361621193,0.367577538502021,0.6640625,0
160,29.6491723092794,89.52827681940066,0.3652662864194226,0.6640625,0
170,29.208476391669794,88.23527008553326,0.36314323508851887,0.6796875,0
180,28.776069992305985,86.96169995436381,0.36128625820666305,0.6796875,0
190,28.349531356811806,85.70653232527636,0.3596692015402183,0.6796875,0
200,27.926810358693725,84.46771174561172,0.35795964363382166,0.6875,0
210,27.513117643097587,83.24697871651233,0.3563978662502182,0.6953125,0
220,27.104544656705542,82.04190849904724,0.35469648100609585,0.6953125,0
230,26.70085856289103,80.85675636943078,0.3536438504081129,0.6953125,0
240,26.30598562803139,79.6858248553272,0.35217260437715836,0.6953125,0
250,25.914463518734955,78.53335908085678,0.3515591430495216,0.6953125,0
260,25.530526830690896,77.39546145534533,0.3506787653223574,0.6953125,0
270,25.15242550042716,76.27474321675335,0.3500032394573213,0.703125,0
280,24.77962915259672,75.17147155049904,0.3493527014092646,0.7109375,0
290,24.413251147306838,74.0827936668823,0.3483967227655943,0.7109375,0
300,24.045421598431755,73.01095027732816,0.34786582484610107,0.6953125,0
310,23.69599426420672,71.95251104203228,0.3467609348926608,0.6875,0
320,23.34575463546373,70.90853003232736,0.34548365644070833,0.6875,0
330,22.994016874410296,69.87882235942595,0.34408031861780286,0.6953125,0
340,22.660534172562134,68.8677871913752,0.34358280375024325,0.6875,0
350,22.323320616424,67.86847614565637,0.3423439363066543,0.6953125,0
360,21.989632420615294,66.88482009762483,0.34140492205156514,0.6875,0
370,21.670401389595956,65.91476029656877,0.340447023235784,0.6953125,0
380,21.349014409242695,64.96235437512848,0.3402462032719814,0.6953125,0
390,21.034318239172233,64.02030026913289,0.33919010628521223,0.6953125,0
400,20.722990665643866,63.09004508130213,0.3375187720796482,0.703125,0
410,20.417226067308523,62.17421333719089,0.33618666323108437,0.703125,0
420,20.115316500666854,61.27626025691885,0.3361066811588531,0.6953125,0
430,19.818023667264058,60.38815599345561,0.33524773618199216,0.703125,0
440,19.525076142189747,59.50842210211253,0.3331460994394835,0.703125,0
450,19.236089052827285,58.64681999109747,0.3325199598323252,0.703125,0
460,18.951913684882964,57.79661097422257,0.3316655154848671,0.703125,0
470,18.670171017632136,56.959535442950674,0.3311020958937147,0.703125,0
480,18.394789704336382,56.13094054524333,0.32950474650593553,0.703125,0
490,18.123041139724506,55.31693143640549,0.3287065188266113,0.703125,0
500,17.854200808363576,54.51410017979887,0.32779157435391293,0.703125,0
510,17.590540185696266,53.72208806574512,0.326636479362445,0.6953125,0
520,17.3300369945202,52.94282497898077,0.32603662415852575,0.6953125,0
530,17.074429157989137,52.17221573020045,0.32490885252352203,0.6953125,0
540,16.822075522358887,51.40993146851034,0.3237904088987895,0.6953125,0
550,16.5731361712333,50.66345643491192,0.3227422915253747,0.6953125,0
560,16.32855079863884,49.927515366096685,0.32265791877155675,0.6953125,0
570,16.08652202140791,49.20271655404373,0.322400792142879,0.6953125,0
580,15.849280662648715,48.48762326415398,0.32157220191156743,0.703125,0
590,15.614017201426194,47.789022436117094,0.32193643648706016,0.703125,0
600,15.382120196132508,47.09489659597757,0.3218921587882721,0.6953125,0
610,15.154218474894137,46.40895899179568,0.320798732487545,0.703125,0
620,14.929380107044423,45.73719677147146,0.3206546138312664,0.7109375,0
630,14.708275763805291,45.07366285778922,0.3198950829073368,0.7109375,0
640,14.490596677640163,44.41982897767643,0.31930424974795246,0.7109375,0
650,14.276146388229243,43.77491047210866,0.31832717841300123,0.71875,0
660,14.064559117663567,43.14207422233156,0.31827570306840447,0.71875,0
670,13.85593429261591,42.51827273914446,0.3182715808866101,0.7109375,0
680,13.650236019687563,41.90094343304342,0.3165917774465404,0.71875,0
690,13.447255767691628,41.295161101790605,0.3163260120419401,0.71875,0
700,13.247530084167304,40.69700910765721,0.3158463006331268,0.71875,0
710,13.050429495604691,40.10588359174902,0.3146547765758604,0.71875,0
720,12.857535338790573,39.522501085540206,0.3136822458095976,0.71875,0
730,12.666967597144446,38.949710469878994,0.3136689440502003,0.734375,0
