Step	Memory_MB	Time
Start	227.053568	2022-11-10 19:07:46
Data loaded	338.518016	2022-11-10 19:07:47
Setup data	438.059008	2022-11-10 19:07:53
Setup Network	468.017152	2022-11-10 19:08:53
Setup Tensorflow NW	803.807232	2022-11-10 19:09:13
Setup Tensorflow	1710.288896	2022-11-10 19:09:47
Initiated Tensorflow	2887.852032	2022-11-10 19:09:51
Prepared Training	2889.854976	2022-11-10 19:09:51
Trained Tensorflow	8226.545664	2022-11-10 19:55:30
Loaded Best Model	8226.545664	2022-11-10 19:55:30
Tensorflow results accuracy	9195.692032	2022-11-10 19:59:05
Tensorflow numgrad 0	9424.580608	2022-11-10 20:00:55
Tensorflow numgrad 1	9866.309632	2022-11-10 20:04:24
Tensorflow numgrad 10	9866.309632	2022-11-10 20:04:25
Tensorflow numgrad 100	9866.309632	2022-11-10 20:04:25
Tensorflow numgrad 101	9866.309632	2022-11-10 20:04:25
Tensorflow numgrad 102	9866.309632	2022-11-10 20:04:26
Tensorflow numgrad 103	9866.309632	2022-11-10 20:04:26
Tensorflow numgrad 104	9866.309632	2022-11-10 20:04:26
Tensorflow numgrad 105	9866.309632	2022-11-10 20:04:27
Tensorflow numgrad 106	9866.309632	2022-11-10 20:04:27
Tensorflow numgrad 107	9866.309632	2022-11-10 20:04:27
Tensorflow numgrad 108	9866.309632	2022-11-10 20:04:27
Tensorflow numgrad 109	9866.309632	2022-11-10 20:04:28
Tensorflow numgrad 11	9866.309632	2022-11-10 20:04:28
Tensorflow numgrad 110	9866.309632	2022-11-10 20:04:28
Tensorflow numgrad 111	9866.309632	2022-11-10 20:04:29
Tensorflow numgrad 112	9866.309632	2022-11-10 20:04:29
Tensorflow numgrad 113	9866.309632	2022-11-10 20:04:29
Tensorflow numgrad 114	9866.309632	2022-11-10 20:04:30
Tensorflow numgrad 115	9866.309632	2022-11-10 20:04:30
Tensorflow numgrad 116	9866.309632	2022-11-10 20:04:30
Tensorflow numgrad 117	9866.309632	2022-11-10 20:04:31
Tensorflow numgrad 118	9866.309632	2022-11-10 20:04:31
Tensorflow numgrad 119	9866.309632	2022-11-10 20:04:31
Tensorflow numgrad 12	9866.309632	2022-11-10 20:04:32
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	9866.309632	2022-11-10 20:04:32
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	9866.309632	2022-11-10 20:04:32
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	9866.309632	2022-11-10 20:04:33
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	9866.309632	2022-11-10 20:04:33
Tensorflow numgrad 120	9866.309632	2022-11-10 20:04:33
Tensorflow numgrad 121	9866.309632	2022-11-10 20:04:34
Tensorflow numgrad 122	9866.309632	2022-11-10 20:04:34
Tensorflow numgrad 123	9866.309632	2022-11-10 20:04:34
Tensorflow numgrad 124	9866.309632	2022-11-10 20:04:35
Tensorflow numgrad 125	9866.309632	2022-11-10 20:04:35
Tensorflow numgrad 126	9866.309632	2022-11-10 20:04:35
Tensorflow numgrad 127	9866.309632	2022-11-10 20:04:36
Tensorflow numgrad 128	9866.309632	2022-11-10 20:04:36
Tensorflow numgrad 129	9866.309632	2022-11-10 20:04:36
Tensorflow numgrad 13	9866.309632	2022-11-10 20:04:37
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	9866.309632	2022-11-10 20:04:37
Tensorflow numgrad 13-PropanediolProductionexport	9866.309632	2022-11-10 20:04:37
Tensorflow numgrad 130	9866.309632	2022-11-10 20:04:38
Tensorflow numgrad 131	9866.309632	2022-11-10 20:04:38
Tensorflow numgrad 132	9866.309632	2022-11-10 20:04:38
Tensorflow numgrad 133	9866.309632	2022-11-10 20:04:38
Tensorflow numgrad 134	9866.309632	2022-11-10 20:04:39
Tensorflow numgrad 135	9866.309632	2022-11-10 20:04:39
Tensorflow numgrad 136	9866.309632	2022-11-10 20:04:39
Tensorflow numgrad 137	9866.309632	2022-11-10 20:04:40
Tensorflow numgrad 138	9866.309632	2022-11-10 20:04:40
Tensorflow numgrad 139	9866.309632	2022-11-10 20:04:40
Tensorflow numgrad 14	9866.309632	2022-11-10 20:04:41
Tensorflow numgrad 140	9866.309632	2022-11-10 20:04:41
Tensorflow numgrad 141	9866.309632	2022-11-10 20:04:41
Tensorflow numgrad 142	9866.309632	2022-11-10 20:04:42
Tensorflow numgrad 143	9866.309632	2022-11-10 20:04:42
Tensorflow numgrad 144	9866.309632	2022-11-10 20:04:42
Tensorflow numgrad 145	9866.309632	2022-11-10 20:04:43
Tensorflow numgrad 146	9866.309632	2022-11-10 20:04:43
Tensorflow numgrad 147	9866.309632	2022-11-10 20:04:43
Tensorflow numgrad 148	9866.309632	2022-11-10 20:04:44
Tensorflow numgrad 149	9866.309632	2022-11-10 20:04:44
Tensorflow numgrad 15	9866.309632	2022-11-10 20:04:44
Tensorflow numgrad 150	9866.309632	2022-11-10 20:04:45
Tensorflow numgrad 151	9866.309632	2022-11-10 20:04:45
Tensorflow numgrad 152	9866.309632	2022-11-10 20:04:45
Tensorflow numgrad 153	9866.309632	2022-11-10 20:04:46
Tensorflow numgrad 154	9866.309632	2022-11-10 20:04:46
Tensorflow numgrad 155	9866.309632	2022-11-10 20:04:46
Tensorflow numgrad 156	9866.309632	2022-11-10 20:04:47
Tensorflow numgrad 157	9866.309632	2022-11-10 20:04:47
Tensorflow numgrad 158	9866.309632	2022-11-10 20:04:47
Tensorflow numgrad 159	9866.309632	2022-11-10 20:04:48
Tensorflow numgrad 16	9866.309632	2022-11-10 20:04:48
Tensorflow numgrad 160	9866.309632	2022-11-10 20:04:48
Tensorflow numgrad 161	9866.309632	2022-11-10 20:04:49
Tensorflow numgrad 162	9866.309632	2022-11-10 20:04:49
Tensorflow numgrad 163	9866.309632	2022-11-10 20:04:49
Tensorflow numgrad 164	9866.309632	2022-11-10 20:04:50
Tensorflow numgrad 165	9866.309632	2022-11-10 20:04:50
Tensorflow numgrad 166	9866.309632	2022-11-10 20:04:50
Tensorflow numgrad 167	9866.309632	2022-11-10 20:04:50
Tensorflow numgrad 168	9866.309632	2022-11-10 20:04:51
Tensorflow numgrad 169	9866.309632	2022-11-10 20:04:51
Tensorflow numgrad 17	9866.309632	2022-11-10 20:04:51
Tensorflow numgrad 170	9866.309632	2022-11-10 20:04:52
Tensorflow numgrad 171	9866.309632	2022-11-10 20:04:52
Tensorflow numgrad 172	9866.309632	2022-11-10 20:04:52
Tensorflow numgrad 173	9866.309632	2022-11-10 20:04:53
Tensorflow numgrad 174	9866.309632	2022-11-10 20:04:53
Tensorflow numgrad 175	9866.309632	2022-11-10 20:04:53
Tensorflow numgrad 176	9866.309632	2022-11-10 20:04:54
Tensorflow numgrad 177	9866.309632	2022-11-10 20:04:54
Tensorflow numgrad 178	9866.309632	2022-11-10 20:04:54
Tensorflow numgrad 179	9866.309632	2022-11-10 20:04:55
Tensorflow numgrad 18	9866.309632	2022-11-10 20:04:55
Tensorflow numgrad 180	9866.309632	2022-11-10 20:04:55
Tensorflow numgrad 181	9866.309632	2022-11-10 20:04:56
Tensorflow numgrad 182	9866.309632	2022-11-10 20:04:56
Tensorflow numgrad 183	9866.309632	2022-11-10 20:04:56
Tensorflow numgrad 184	9866.309632	2022-11-10 20:04:57
Tensorflow numgrad 185	9866.309632	2022-11-10 20:04:57
Tensorflow numgrad 186	9866.309632	2022-11-10 20:04:57
Tensorflow numgrad 187	9866.309632	2022-11-10 20:04:58
Tensorflow numgrad 188	9866.309632	2022-11-10 20:04:58
Tensorflow numgrad 189	9866.309632	2022-11-10 20:04:58
Tensorflow numgrad 19	9866.309632	2022-11-10 20:04:59
Tensorflow numgrad 190	9866.309632	2022-11-10 20:04:59
Tensorflow numgrad 191	9866.309632	2022-11-10 20:04:59
Tensorflow numgrad 192	9866.309632	2022-11-10 20:05:00
Tensorflow numgrad 193	9866.309632	2022-11-10 20:05:00
Tensorflow numgrad 194	9866.309632	2022-11-10 20:05:00
Tensorflow numgrad 195	9866.309632	2022-11-10 20:05:01
Tensorflow numgrad 196	9866.309632	2022-11-10 20:05:01
Tensorflow numgrad 197	9866.309632	2022-11-10 20:05:01
