Step	Memory_MB	Time
Start	226.885632	2022-11-11 09:41:38
Data loaded	338.341888	2022-11-11 09:41:39
Setup data	427.384832	2022-11-11 09:41:45
Setup Network	458.047488	2022-11-11 09:42:46
Setup Tensorflow NW	1109.766144	2022-11-11 09:43:16
Setup Tensorflow	2959.62624	2022-11-11 09:44:22
Initiated Tensorflow	5139.00544	2022-11-11 09:44:31
Prepared Training	5139.00544	2022-11-11 09:44:31
Trained Tensorflow	15165.587456	2022-11-11 11:10:21
Loaded Best Model	15165.587456	2022-11-11 11:10:21
Tensorflow results accuracy	16681.439232	2022-11-11 11:15:17
Tensorflow numgrad 0	16986.013696	2022-11-11 11:17:49
Tensorflow numgrad 1	17591.730176	2022-11-11 11:22:13
Tensorflow numgrad 10	17591.730176	2022-11-11 11:22:13
Tensorflow numgrad 100	17591.730176	2022-11-11 11:22:13
Tensorflow numgrad 101	17591.730176	2022-11-11 11:22:14
Tensorflow numgrad 102	17591.730176	2022-11-11 11:22:14
Tensorflow numgrad 103	17591.730176	2022-11-11 11:22:14
Tensorflow numgrad 104	17591.730176	2022-11-11 11:22:15
Tensorflow numgrad 105	17591.730176	2022-11-11 11:22:15
Tensorflow numgrad 106	17591.730176	2022-11-11 11:22:16
Tensorflow numgrad 107	17591.730176	2022-11-11 11:22:16
Tensorflow numgrad 108	17591.730176	2022-11-11 11:22:16
Tensorflow numgrad 109	17591.730176	2022-11-11 11:22:17
Tensorflow numgrad 11	17591.730176	2022-11-11 11:22:17
Tensorflow numgrad 110	17591.730176	2022-11-11 11:22:17
Tensorflow numgrad 111	17591.730176	2022-11-11 11:22:18
Tensorflow numgrad 112	17591.730176	2022-11-11 11:22:18
Tensorflow numgrad 113	17591.730176	2022-11-11 11:22:19
Tensorflow numgrad 114	17591.730176	2022-11-11 11:22:19
Tensorflow numgrad 115	17591.730176	2022-11-11 11:22:19
Tensorflow numgrad 116	17591.730176	2022-11-11 11:22:20
Tensorflow numgrad 117	17591.730176	2022-11-11 11:22:20
Tensorflow numgrad 118	17591.730176	2022-11-11 11:22:20
Tensorflow numgrad 119	17591.730176	2022-11-11 11:22:21
Tensorflow numgrad 12	17591.730176	2022-11-11 11:22:21
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	17591.730176	2022-11-11 11:22:21
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	17591.730176	2022-11-11 11:22:22
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	17591.730176	2022-11-11 11:22:22
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	17591.730176	2022-11-11 11:22:23
Tensorflow numgrad 120	17591.730176	2022-11-11 11:22:23
Tensorflow numgrad 121	17591.730176	2022-11-11 11:22:23
Tensorflow numgrad 122	17591.730176	2022-11-11 11:22:24
Tensorflow numgrad 123	17591.730176	2022-11-11 11:22:24
Tensorflow numgrad 124	17591.730176	2022-11-11 11:22:24
Tensorflow numgrad 125	17591.730176	2022-11-11 11:22:25
Tensorflow numgrad 126	17591.730176	2022-11-11 11:22:25
Tensorflow numgrad 127	17591.730176	2022-11-11 11:22:26
Tensorflow numgrad 128	17591.730176	2022-11-11 11:22:26
Tensorflow numgrad 129	17591.730176	2022-11-11 11:22:26
Tensorflow numgrad 13	17591.730176	2022-11-11 11:22:27
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	17591.730176	2022-11-11 11:22:27
Tensorflow numgrad 13-PropanediolProductionexport	17591.730176	2022-11-11 11:22:27
Tensorflow numgrad 130	17591.730176	2022-11-11 11:22:28
Tensorflow numgrad 131	17591.730176	2022-11-11 11:22:28
Tensorflow numgrad 132	17591.730176	2022-11-11 11:22:29
Tensorflow numgrad 133	17591.730176	2022-11-11 11:22:29
Tensorflow numgrad 134	17591.730176	2022-11-11 11:22:29
Tensorflow numgrad 135	17591.730176	2022-11-11 11:22:30
Tensorflow numgrad 136	17591.730176	2022-11-11 11:22:30
Tensorflow numgrad 137	17591.730176	2022-11-11 11:22:30
Tensorflow numgrad 138	17591.730176	2022-11-11 11:22:31
Tensorflow numgrad 139	17591.730176	2022-11-11 11:22:31
Tensorflow numgrad 14	17591.730176	2022-11-11 11:22:32
Tensorflow numgrad 140	17591.730176	2022-11-11 11:22:32
Tensorflow numgrad 141	17591.730176	2022-11-11 11:22:32
Tensorflow numgrad 142	17591.730176	2022-11-11 11:22:33
Tensorflow numgrad 143	17591.730176	2022-11-11 11:22:33
Tensorflow numgrad 144	17591.730176	2022-11-11 11:22:33
Tensorflow numgrad 145	17591.730176	2022-11-11 11:22:34
Tensorflow numgrad 146	17591.730176	2022-11-11 11:22:34
Tensorflow numgrad 147	17591.730176	2022-11-11 11:22:34
Tensorflow numgrad 148	17591.730176	2022-11-11 11:22:35
Tensorflow numgrad 149	17591.730176	2022-11-11 11:22:35
Tensorflow numgrad 15	17591.730176	2022-11-11 11:22:36
Tensorflow numgrad 150	17591.730176	2022-11-11 11:22:36
Tensorflow numgrad 151	17591.730176	2022-11-11 11:22:36
Tensorflow numgrad 152	17591.730176	2022-11-11 11:22:37
Tensorflow numgrad 153	17591.730176	2022-11-11 11:22:37
Tensorflow numgrad 154	17591.730176	2022-11-11 11:22:37
Tensorflow numgrad 155	17591.730176	2022-11-11 11:22:38
Tensorflow numgrad 156	17591.730176	2022-11-11 11:22:38
Tensorflow numgrad 157	17591.730176	2022-11-11 11:22:39
Tensorflow numgrad 158	17591.730176	2022-11-11 11:22:39
Tensorflow numgrad 159	17591.730176	2022-11-11 11:22:39
Tensorflow numgrad 16	17591.730176	2022-11-11 11:22:40
Tensorflow numgrad 160	17591.730176	2022-11-11 11:22:40
Tensorflow numgrad 161	17591.730176	2022-11-11 11:22:40
Tensorflow numgrad 162	17591.730176	2022-11-11 11:22:41
Tensorflow numgrad 163	17591.730176	2022-11-11 11:22:41
Tensorflow numgrad 164	17591.730176	2022-11-11 11:22:42
Tensorflow numgrad 165	17591.730176	2022-11-11 11:22:42
Tensorflow numgrad 166	17591.730176	2022-11-11 11:22:42
Tensorflow numgrad 167	17591.730176	2022-11-11 11:22:43
Tensorflow numgrad 168	17591.730176	2022-11-11 11:22:43
