Step	Memory_MB	Time
Start	227.536896	2022-11-10 15:08:02
Data loaded	339.013632	2022-11-10 15:08:03
Setup data	408.190976	2022-11-10 15:08:06
Setup Network	421.777408	2022-11-10 15:08:32
Setup Tensorflow NW	704.843776	2022-11-10 15:08:46
Setup Tensorflow	1572.470784	2022-11-10 15:09:17
Initiated Tensorflow	2601.222144	2022-11-10 15:09:21
Prepared Training	2601.222144	2022-11-10 15:09:21
Trained Tensorflow	4977.987584	2022-11-10 15:40:20
Loaded Best Model	4977.987584	2022-11-10 15:40:20
Tensorflow results accuracy	5680.04608	2022-11-10 15:42:17
Tensorflow numgrad 0	5822.631936	2022-11-10 15:43:17
Tensorflow numgrad 1	6095.40096	2022-11-10 15:45:08
Tensorflow numgrad 10	6095.40096	2022-11-10 15:45:08
Tensorflow numgrad 100	6095.40096	2022-11-10 15:45:08
Tensorflow numgrad 101	6095.40096	2022-11-10 15:45:09
Tensorflow numgrad 102	6095.40096	2022-11-10 15:45:09
Tensorflow numgrad 103	6095.40096	2022-11-10 15:45:09
Tensorflow numgrad 104	6095.40096	2022-11-10 15:45:09
Tensorflow numgrad 105	6095.40096	2022-11-10 15:45:09
Tensorflow numgrad 106	6095.40096	2022-11-10 15:45:09
Tensorflow numgrad 107	6095.40096	2022-11-10 15:45:10
Tensorflow numgrad 108	6095.40096	2022-11-10 15:45:10
Tensorflow numgrad 109	6095.40096	2022-11-10 15:45:10
Tensorflow numgrad 11	6095.40096	2022-11-10 15:45:10
Tensorflow numgrad 110	6095.40096	2022-11-10 15:45:10
Tensorflow numgrad 111	6095.40096	2022-11-10 15:45:11
Tensorflow numgrad 112	6095.40096	2022-11-10 15:45:11
Tensorflow numgrad 113	6095.40096	2022-11-10 15:45:11
Tensorflow numgrad 114	6095.40096	2022-11-10 15:45:11
Tensorflow numgrad 115	6095.40096	2022-11-10 15:45:11
Tensorflow numgrad 116	6095.40096	2022-11-10 15:45:11
Tensorflow numgrad 117	6095.40096	2022-11-10 15:45:12
Tensorflow numgrad 118	6095.40096	2022-11-10 15:45:12
Tensorflow numgrad 119	6095.40096	2022-11-10 15:45:12
Tensorflow numgrad 12	6095.40096	2022-11-10 15:45:12
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	6095.40096	2022-11-10 15:45:12
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	6095.40096	2022-11-10 15:45:12
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	6095.40096	2022-11-10 15:45:13
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolProductionexport	6095.40096	2022-11-10 15:45:13
Tensorflow numgrad 120	6095.40096	2022-11-10 15:45:13
Tensorflow numgrad 121	6095.40096	2022-11-10 15:45:13
Tensorflow numgrad 122	6095.40096	2022-11-10 15:45:13
Tensorflow numgrad 123	6095.40096	2022-11-10 15:45:13
Tensorflow numgrad 124	6095.40096	2022-11-10 15:45:14
Tensorflow numgrad 125	6095.40096	2022-11-10 15:45:14
Tensorflow numgrad 126	6095.40096	2022-11-10 15:45:14
Tensorflow numgrad 127	6095.40096	2022-11-10 15:45:14
Tensorflow numgrad 128	6095.40096	2022-11-10 15:45:14
Tensorflow numgrad 129	6095.40096	2022-11-10 15:45:14
Tensorflow numgrad 13	6095.40096	2022-11-10 15:45:15
Tensorflow numgrad 13-PropanediolConsumptionimportproductionexport	6095.40096	2022-11-10 15:45:15
Tensorflow numgrad 13-PropanediolProductionexport	6095.40096	2022-11-10 15:45:15
Tensorflow numgrad 130	6095.40096	2022-11-10 15:45:15
Tensorflow numgrad 131	6095.40096	2022-11-10 15:45:15
Tensorflow numgrad 132	6095.40096	2022-11-10 15:45:16
Tensorflow numgrad 133	6095.40096	2022-11-10 15:45:16
Tensorflow numgrad 134	6095.40096	2022-11-10 15:45:16
Tensorflow numgrad 135	6095.40096	2022-11-10 15:45:16
Tensorflow numgrad 136	6095.40096	2022-11-10 15:45:16
Tensorflow numgrad 137	6095.40096	2022-11-10 15:45:16
Tensorflow numgrad 138	6095.40096	2022-11-10 15:45:17
Tensorflow numgrad 139	6095.40096	2022-11-10 15:45:17
Tensorflow numgrad 14	6095.40096	2022-11-10 15:45:17
Tensorflow numgrad 140	6095.40096	2022-11-10 15:45:17
Tensorflow numgrad 141	6095.40096	2022-11-10 15:45:17
Tensorflow numgrad 142	6095.40096	2022-11-10 15:45:17
Tensorflow numgrad 143	6095.40096	2022-11-10 15:45:18
Tensorflow numgrad 144	6095.40096	2022-11-10 15:45:18
Tensorflow numgrad 145	6095.40096	2022-11-10 15:45:18
Tensorflow numgrad 146	6095.40096	2022-11-10 15:45:18
Tensorflow numgrad 147	6095.40096	2022-11-10 15:45:18
Tensorflow numgrad 148	6095.40096	2022-11-10 15:45:18
Tensorflow numgrad 149	6095.40096	2022-11-10 15:45:19
