Step	Memory_MB	Time
Tensorflow numgrad 169	6214.582272	2022-11-09 06:35:31
Tensorflow numgrad 17	6214.582272	2022-11-09 06:35:31
Tensorflow numgrad 170	6214.582272	2022-11-09 06:35:32
Tensorflow numgrad 171	6214.582272	2022-11-09 06:35:32
Tensorflow numgrad 172	6214.582272	2022-11-09 06:35:32
Tensorflow numgrad 173	6214.582272	2022-11-09 06:35:32
Tensorflow numgrad 174	6214.582272	2022-11-09 06:35:33
Tensorflow numgrad 175	6214.582272	2022-11-09 06:35:33
Tensorflow numgrad 176	6214.582272	2022-11-09 06:35:33
Tensorflow numgrad 177	6214.582272	2022-11-09 06:35:33
Tensorflow numgrad 178	6214.582272	2022-11-09 06:35:34
Tensorflow numgrad 179	6214.582272	2022-11-09 06:35:34
Tensorflow numgrad 18	6214.582272	2022-11-09 06:35:34
Tensorflow numgrad 180	6214.582272	2022-11-09 06:35:34
Tensorflow numgrad 181	6214.582272	2022-11-09 06:35:35
Tensorflow numgrad 182	6214.582272	2022-11-09 06:35:35
Tensorflow numgrad 183	6214.582272	2022-11-09 06:35:35
Tensorflow numgrad 184	6214.582272	2022-11-09 06:35:36
Tensorflow numgrad 185	6214.582272	2022-11-09 06:35:36
Tensorflow numgrad 186	6214.582272	2022-11-09 06:35:36
Tensorflow numgrad 187	6214.582272	2022-11-09 06:35:36
Tensorflow numgrad 188	6214.582272	2022-11-09 06:35:37
Tensorflow numgrad 189	6214.582272	2022-11-09 06:35:37
Tensorflow numgrad 19	6214.582272	2022-11-09 06:35:37
Tensorflow numgrad 190	6214.582272	2022-11-09 06:35:37
Tensorflow numgrad 191	6214.582272	2022-11-09 06:35:38
Tensorflow numgrad 192	6214.582272	2022-11-09 06:35:38
Tensorflow numgrad 193	6214.582272	2022-11-09 06:35:38
Tensorflow numgrad 194	6214.582272	2022-11-09 06:35:38
Tensorflow numgrad 195	6214.582272	2022-11-09 06:35:39
Tensorflow numgrad 196	6214.582272	2022-11-09 06:35:39
Tensorflow numgrad 197	6214.582272	2022-11-09 06:35:39
Tensorflow numgrad 198	6214.582272	2022-11-09 06:35:40
Tensorflow numgrad 199	6214.582272	2022-11-09 06:35:40
Tensorflow numgrad 2	6214.582272	2022-11-09 06:35:40
Tensorflow numgrad 2-Aminobutyricacid2-AminobutyrateProductionexport	6214.582272	2022-11-09 06:35:40
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateConsumptionimport	6214.582272	2022-11-09 06:35:41
Tensorflow numgrad 2-OxobutyrateAlpha-ketobutyrate2-OxobutanoateProductionexport	6214.582272	2022-11-09 06:35:41
Tensorflow numgrad 2-methylbutyrate2-methylbutanoicacidConsumptionimport	6214.582272	2022-11-09 06:35:41
Tensorflow numgrad 20	6214.582272	2022-11-09 06:35:41
Tensorflow numgrad 200	6214.582272	2022-11-09 06:35:42
Tensorflow numgrad 201	6214.582272	2022-11-09 06:35:42
Tensorflow numgrad 202	6214.582272	2022-11-09 06:35:42
Tensorflow numgrad 203	6214.582272	2022-11-09 06:35:42
Tensorflow numgrad 204	6214.582272	2022-11-09 06:35:43
Tensorflow numgrad 205	6214.582272	2022-11-09 06:35:43
Tensorflow numgrad 206	6214.582272	2022-11-09 06:35:43
Tensorflow numgrad 207	6214.582272	2022-11-09 06:35:44
Tensorflow numgrad 208	6214.582272	2022-11-09 06:35:44
Tensorflow numgrad 209	6214.582272	2022-11-09 06:35:44
Tensorflow numgrad 21	6214.582272	2022-11-09 06:35:44
Tensorflow numgrad 210	6214.582272	2022-11-09 06:35:45
Tensorflow numgrad 211	6214.582272	2022-11-09 06:35:45
Tensorflow numgrad 213	6214.582272	2022-11-09 06:35:45
Tensorflow numgrad 214	6214.582272	2022-11-09 06:35:45
Tensorflow numgrad 215	6214.582272	2022-11-09 06:35:46
