Step	Memory_MB	Time
Start	220.557312	2022-11-09 14:11:15
Data loaded	332.087296	2022-11-09 14:11:16
Setup data	430.952448	2022-11-09 14:11:22
Setup Network	460.808192	2022-11-09 14:12:20
Setup Tensorflow NW	696.557568	2022-11-09 14:12:37
Setup Tensorflow	1295.601664	2022-11-09 14:12:59
Initiated Tensorflow	2143.768576	2022-11-09 14:13:02
Prepared Training	2145.767424	2022-11-09 14:13:02
Trained Tensorflow	5805.355008	2022-11-09 15:06:02
Loaded Best Model	5805.355008	2022-11-09 15:06:02
Tensorflow results accuracy	6663.667712	2022-11-09 15:09:17
Tensorflow numgrad 0	6867.955712	2022-11-09 15:10:56
Tensorflow numgrad 1	7255.887872	2022-11-09 15:14:10
Tensorflow numgrad 10	7255.887872	2022-11-09 15:14:10
Tensorflow numgrad 100	7255.887872	2022-11-09 15:14:10
Tensorflow numgrad 101	7255.887872	2022-11-09 15:14:10
Tensorflow numgrad 102	7255.887872	2022-11-09 15:14:11
Tensorflow numgrad 103	7255.887872	2022-11-09 15:14:11
Tensorflow numgrad 104	7255.887872	2022-11-09 15:14:11
Tensorflow numgrad 105	7255.887872	2022-11-09 15:14:12
Tensorflow numgrad 106	7255.887872	2022-11-09 15:14:12
Tensorflow numgrad 107	7255.887872	2022-11-09 15:14:12
Tensorflow numgrad 108	7255.887872	2022-11-09 15:14:13
Tensorflow numgrad 109	7255.887872	2022-11-09 15:14:13
Tensorflow numgrad 11	7255.887872	2022-11-09 15:14:13
Tensorflow numgrad 110	7255.887872	2022-11-09 15:14:13
Tensorflow numgrad 111	7255.887872	2022-11-09 15:14:14
Tensorflow numgrad 112	7255.887872	2022-11-09 15:14:14
Tensorflow numgrad 113	7255.887872	2022-11-09 15:14:14
Tensorflow numgrad 114	7255.887872	2022-11-09 15:14:15
Tensorflow numgrad 115	7255.887872	2022-11-09 15:14:15
Tensorflow numgrad 116	7255.887872	2022-11-09 15:14:15
Tensorflow numgrad 117	7255.887872	2022-11-09 15:14:16
Tensorflow numgrad 118	7255.887872	2022-11-09 15:14:16
Tensorflow numgrad 119	7255.887872	2022-11-09 15:14:16
Tensorflow numgrad 12	7255.887872	2022-11-09 15:14:17
Tensorflow numgrad 12-EthanediolEthyleneglycolConsumptionimport	7255.887872	2022-11-09 15:14:17
Tensorflow numgrad 12-EthanediolEthyleneglycolProductionexport	7255.887872	2022-11-09 15:14:17
Tensorflow numgrad 12-propanediolPropenediolPropyleneglycolR-12-propanediolR-propane-12-diolS-12-propanediolS-propane-12-diolConsumptionimport	7255.887872	2022-11-09 15:14:17
